,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"23,025","20,400","23,135","20,220","606,34K","12,87%"
1,Oct 2020,"20,400","19,365","25,385","18,610","1,18M","5,34%"
2,Sep 2020,"19,365","20,520","21,585","18,220","811,13K","-5,63%"
3,Ago 2020,"20,520","19,532","22,335","19,122","1,07M","4,96%"
4,Jul 2020,"19,550","22,440","24,455","19,535","1,64M","-12,88%"
5,Jun 2020,"22,440","23,350","27,410","21,590","1,69M","-2,22%"
6,May 2020,"22,950","22,095","24,620","19,710","2,24M","0,79%"
7,Abr 2020,"22,770","17,135","23,950","16,700","2,76M","27,81%"
8,Mar 2020,"17,815","27,270","27,745","11,223","2,48M","-33,65%"
9,Feb 2020,"26,850","30,030","32,000","26,350","31,56M","-10,59%"
10,Ene 2020,"30,030","35,830","35,890","29,950","22,22M","-15,76%"
11,Dic 2019,"35,650","35,510","36,000","33,520","18,35M","0,91%"
12,Nov 2019,"35,330","36,540","37,360","33,930","21,99M","-2,91%"
13,Oct 2019,"36,390","36,470","36,930","34,450","16,90M","-0,74%"
14,Sep 2019,"36,660","34,360","37,170","34,230","16,76M","6,66%"
15,Ago 2019,"34,370","36,530","37,050","32,320","15,83M","-6,09%"
16,Jul 2019,"36,600","35,480","39,400","35,340","20,84M","4,24%"
17,Jun 2019,"35,110","36,720","38,870","34,070","17,42M","-4,85%"
18,May 2019,"36,900","40,800","40,900","36,750","15,75M","-9,85%"
19,Abr 2019,"40,930","39,320","40,970","38,870","14,44M","4,52%"
20,Mar 2019,"39,160","39,300","40,210","38,000","17,72M","0,46%"
21,Feb 2019,"38,980","36,310","39,290","34,880","15,60M","7,98%"
22,Ene 2019,"36,100","33,360","36,630","32,320","19,07M","7,73%"
