,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"10,270","9,115","10,335","9,030","248,52K","11,81%"
1,Oct 2020,"9,185","9,770","10,525","8,835","588,74K","-4,07%"
2,Sep 2020,"9,575","9,250","10,085","9,145","366,86K","5,48%"
3,Ago 2020,"9,078","9,345","9,945","8,990","344,78K","-6,03%"
4,Jul 2020,"9,660","9,325","11,950","9,039","1,65M","-15,86%"
5,Jun 2020,"11,480","11,960","13,035","11,030","631,51K","-1,01%"
6,May 2020,"11,598","11,535","13,770","10,590","426,66K","0,42%"
7,Abr 2020,"11,549","10,620","11,890","10,032","178,16K","11,95%"
8,Mar 2020,"10,316","12,040","12,545","8,618","292,72K","-12,50%"
9,Feb 2020,"11,790","13,360","14,120","11,430","9,20M","-11,69%"
10,Ene 2020,"13,350","14,880","15,840","13,340","7,61M","-8,81%"
11,Dic 2019,"14,640","15,320","15,610","14,060","6,40M","-5,06%"
12,Nov 2019,"15,420","16,770","18,500","14,500","21,34M","-8,32%"
13,Oct 2019,"16,820","16,040","17,200","15,020","3,98M","4,80%"
14,Sep 2019,"16,050","17,110","17,440","15,140","3,77M","-7,33%"
15,Ago 2019,"17,320","16,440","17,390","15,730","2,84M","5,35%"
16,Jul 2019,"16,440","16,260","18,140","16,040","4,63M","1,23%"
17,Jun 2019,"16,240","15,300","16,290","14,720","3,90M","5,32%"
18,May 2019,"15,420","14,940","15,806","14,462","6,57M","7,82%"
19,Abr 2019,"14,302","15,388","15,657","13,914","4,73M","-5,53%"
20,Mar 2019,"15,139","15,388","16,145","14,611","3,76M","-0,37%"
21,Feb 2019,"15,195","14,514","15,560","14,514","3,91M","4,05%"
22,Ene 2019,"14,603","13,280","15,343","12,856","5,06M","10,70%"
