,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"48,430","41,050","48,695","39,414","1,20M","18,15%"
1,Oct 2020,"40,990","48,020","50,740","39,080","1,05M","-13,87%"
2,Sep 2020,"47,590","47,375","51,630","44,160","991,91K","1,45%"
3,Ago 2020,"46,910","42,450","49,480","40,710","2,16M","10,74%"
4,Jul 2020,"42,360","46,835","50,145","42,360","1,21M","-8,67%"
5,Jun 2020,"46,380","48,120","54,730","45,065","1,30M","-1,19%"
6,May 2020,"46,940","42,550","50,960","34,906","2,86M","9,16%"
7,Abr 2020,"43,000","42,590","52,191","39,295","919,55K","-0,46%"
8,Mar 2020,"43,200","65,780","66,390","36,920","1,75M","-31,97%"
9,Feb 2020,"63,500","71,180","75,540","58,220","25,57M","-10,34%"
10,Ene 2020,"70,820","73,900","78,820","70,680","58,56M","-2,72%"
11,Dic 2019,"72,800","72,220","74,400","71,180","21,51M","0,69%"
12,Nov 2019,"72,300","66,600","72,660","66,460","17,37M","8,98%"
13,Oct 2019,"66,340","66,360","67,840","61,720","19,48M","0,94%"
14,Sep 2019,"65,720","67,540","68,860","64,780","20,18M","-3,01%"
15,Ago 2019,"67,760","70,540","72,120","64,900","23,40M","-5,04%"
16,Jul 2019,"71,360","70,920","74,940","70,220","81,46M","2,44%"
17,Jun 2019,"69,660","67,760","72,300","66,420","22,78M","1,90%"
18,May 2019,"68,360","70,400","71,440","65,280","26,49M","-3,61%"
19,Abr 2019,"70,920","71,700","72,420","67,760","24,51M","-0,67%"
20,Mar 2019,"71,400","66,340","71,400","64,620","22,04M","7,85%"
21,Feb 2019,"66,200","64,300","69,840","63,240","21,11M","4,28%"
22,Ene 2019,"63,480","60,740","66,460","58,060","60,02M","4,34%"
