,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"1,831","1,740","1,860","1,710","52,02M","7,03%"
1,Oct 2020,"1,711","1,600","1,810","1,540","71,51M","6,95%"
2,Sep 2020,"1,600","1,863","1,956","1,500","60,99M","-14,13%"
3,Ago 2020,"1,863","1,980","2,050","1,768","48,71M","3,00%"
4,Jul 2020,"1,809","1,913","2,381","1,809","85,16M","-16,83%"
5,Jun 2020,"2,174","2,090","2,601","2,035","52,38M","6,72%"
6,May 2020,"2,037","1,990","2,170","1,776","90,12M","0,00%"
7,Abr 2020,"2,037","2,140","2,360","1,860","115,08M","-8,14%"
8,Mar 2020,"2,218","3,410","3,420","1,927","84,04M","-33,33%"
9,Feb 2020,"3,327","3,577","3,964","3,256","1,20B","-6,39%"
10,Ene 2020,"3,554","3,770","3,876","3,443","1,12B","-4,72%"
11,Dic 2019,"3,730","3,545","3,850","3,436","1,17B","5,46%"
12,Nov 2019,"3,537","3,600","3,865","3,478","2,00B","-1,59%"
13,Oct 2019,"3,594","3,750","4,042","3,465","2,33B","-3,80%"
14,Sep 2019,"3,736","3,449","3,849","3,385","1,29B","8,60%"
15,Ago 2019,"3,440","3,869","3,920","3,421","1,12B","-10,95%"
16,Jul 2019,"3,863","4,105","4,260","3,860","1,01B","-5,32%"
17,Jun 2019,"4,080","3,920","4,090","3,902","978,63M","3,24%"
18,May 2019,"3,952","4,501","4,555","3,940","1,68B","-12,39%"
19,Abr 2019,"4,511","4,186","4,682","4,158","2,30B","8,86%"
20,Mar 2019,"4,144","4,296","4,523","4,040","1,15B","-3,54%"
21,Feb 2019,"4,296","4,117","4,298","3,942","1,99B","3,97%"
22,Ene 2019,"4,132","3,908","4,420","3,830","2,04B","4,00%"
