,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"1,117","1,062","1,131","1,046","3,88M","6,18%"
1,Oct 2020,"1,052","1,242","1,242","1,031","5,73M","-15,26%"
2,Sep 2020,"1,242","1,073","1,459","1,011","14,24M","17,62%"
3,Ago 2020,"1,056","1,100","1,211","1,031","4,25M","-1,45%"
4,Jul 2020,"1,071","1,082","1,173","0,938","7,82M","12,93%"
5,Jun 2020,"0,948","0,822","1,044","0,807","11,25M","19,48%"
6,May 2020,"0,794","0,900","0,951","0,719","105,39M","-14,53%"
7,Abr 2020,"0,929","0,980","1,047","0,874","11,43M","-8,76%"
8,Mar 2020,"1,018","1,458","1,488","0,876","10,12M","-28,81%"
9,Feb 2020,"1,430","1,651","1,752","1,402","169,16M","-12,86%"
10,Ene 2020,"1,641","1,930","1,989","1,600","146,48M","-13,77%"
11,Dic 2019,"1,903","1,768","1,946","1,706","116,55M","8,25%"
12,Nov 2019,"1,758","1,710","1,888","1,628","185,21M","2,93%"
13,Oct 2019,"1,708","1,742","1,891","1,602","196,97M","-1,39%"
14,Sep 2019,"1,732","1,645","1,850","1,547","209,79M","4,91%"
15,Ago 2019,"1,651","1,794","1,842","1,538","134,10M","-7,87%"
16,Jul 2019,"1,792","2,110","2,191","1,740","164,82M","-13,76%"
17,Jun 2019,"2,078","2,241","2,292","1,978","124,26M","-8,22%"
18,May 2019,"2,264","2,462","2,524","2,209","124,99M","-8,15%"
19,Abr 2019,"2,465","2,337","2,470","2,242","233,92M","6,71%"
20,Mar 2019,"2,310","2,700","2,727","2,282","167,24M","-13,97%"
21,Feb 2019,"2,685","2,533","2,698","2,406","129,47M","5,71%"
22,Ene 2019,"2,540","2,517","2,747","2,463","176,38M","-0,78%"
