,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"3,270","3,232","3,413","3,171","5,08M","1,65%"
1,Oct 2020,"3,217","3,723","3,836","3,053","3,39M","-12,51%"
2,Sep 2020,"3,677","4,550","4,673","3,619","4,18M","-18,42%"
3,Ago 2020,"4,507","4,665","4,850","4,297","2,63M","2,85%"
4,Jul 2020,"4,382","4,361","4,647","4,083","5,56M","3,23%"
5,Jun 2020,"4,245","3,888","4,879","3,777","2,67M","11,39%"
6,May 2020,"3,811","3,672","4,139","3,252","4,51M","1,25%"
7,Abr 2020,"3,764","3,210","3,980","3,036","3,13M","12,56%"
8,Mar 2020,"3,344","5,462","5,462","2,997","4,81M","-37,38%"
9,Feb 2020,"5,340","5,894","6,340","5,242","56,28M","-8,78%"
10,Ene 2020,"5,854","6,640","6,744","5,830","48,95M","-10,38%"
11,Dic 2019,"6,532","6,384","6,860","6,230","42,36M","2,90%"
12,Nov 2019,"6,348","6,200","6,596","6,010","53,14M","2,39%"
13,Oct 2019,"6,200","5,830","6,516","5,452","80,57M","7,01%"
14,Sep 2019,"5,794","5,280","6,118","5,140","75,08M","9,36%"
15,Ago 2019,"5,298","5,882","5,962","5,176","51,69M","-9,71%"
16,Jul 2019,"5,868","6,112","6,576","5,822","68,30M","-3,14%"
17,Jun 2019,"6,058","6,436","6,586","5,810","63,68M","-6,48%"
18,May 2019,"6,478","7,100","7,200","6,436","34,34M","-8,99%"
19,Abr 2019,"7,118","6,820","7,396","6,820","46,33M","4,83%"
20,Mar 2019,"6,790","7,250","7,264","6,738","59,65M","-5,98%"
21,Feb 2019,"7,222","6,804","7,250","6,510","44,49M","6,08%"
22,Ene 2019,"6,808","6,940","7,478","6,744","52,31M","-2,99%"
