,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"2,583","2,495","2,642","2,420","21,94M","4,91%"
1,Oct 2020,"2,462","2,405","2,541","2,180","23,55M","3,79%"
2,Sep 2020,"2,372","2,500","2,615","2,125","21,11M","-3,30%"
3,Ago 2020,"2,453","2,620","2,830","2,389","22,98M","-6,98%"
4,Jul 2020,"2,637","2,714","3,368","2,630","32,18M","-13,94%"
5,Jun 2020,"3,064","2,870","3,650","2,796","21,81M","9,70%"
6,May 2020,"2,793","2,865","3,000","2,460","40,20M","-6,49%"
7,Abr 2020,"2,987","2,780","3,162","2,479","52,46M","2,45%"
8,Mar 2020,"2,915","4,420","4,455","2,563","37,38M","-32,75%"
9,Feb 2020,"4,335","4,700","5,339","4,235","559,77M","-7,13%"
10,Ene 2020,"4,668","5,031","5,124","4,497","452,79M","-6,32%"
11,Dic 2019,"4,983","4,788","5,166","4,633","557,33M","4,20%"
12,Nov 2019,"4,782","4,720","5,035","4,630","377,05M","1,25%"
13,Oct 2019,"4,723","4,820","4,967","4,462","1,40B","-1,19%"
14,Sep 2019,"4,780","4,296","4,900","4,242","509,48M","10,93%"
15,Ago 2019,"4,309","4,601","4,723","4,187","488,24M","-6,31%"
16,Jul 2019,"4,599","4,981","5,135","4,570","395,10M","-6,47%"
17,Jun 2019,"4,917","4,817","5,080","4,778","387,25M","1,03%"
18,May 2019,"4,867","5,410","5,469","4,843","395,46M","-10,17%"
19,Abr 2019,"5,418","5,197","5,679","5,156","387,37M","6,38%"
20,Mar 2019,"5,093","5,496","5,550","5,005","421,03M","-6,96%"
21,Feb 2019,"5,474","5,205","5,492","4,990","351,23M","5,88%"
22,Ene 2019,"5,170","4,574","5,331","4,510","392,26M","11,52%"
