,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"1,640","1,575","1,664","1,544","11,30M","4,99%"
1,Oct 2020,"1,562","1,813","1,839","1,518","19,62M","-13,84%"
2,Sep 2020,"1,813","1,842","2,113","1,756","20,78M","-1,57%"
3,Ago 2020,"1,842","1,910","2,113","1,810","11,02M","1,21%"
4,Jul 2020,"1,820","1,906","2,205","1,811","16,51M","-4,24%"
5,Jun 2020,"1,901","1,718","2,111","1,688","10,92M","13,16%"
6,May 2020,"1,679","1,605","1,832","1,500","26,84M","2,35%"
7,Abr 2020,"1,641","1,650","1,829","1,510","32,55M","-3,47%"
8,Mar 2020,"1,700","2,364","2,513","1,563","17,55M","-26,72%"
9,Feb 2020,"2,320","2,670","2,940","2,270","415,90M","-12,12%"
10,Ene 2020,"2,640","2,840","2,920","2,580","316,20M","-5,71%"
11,Dic 2019,"2,800","2,690","2,880","2,630","273,47M","4,48%"
12,Nov 2019,"2,680","2,570","2,810","2,550","336,24M","4,69%"
13,Oct 2019,"2,560","2,430","2,670","2,260","379,44M","6,22%"
14,Sep 2019,"2,410","2,050","2,440","1,990","456,00M","16,99%"
15,Ago 2019,"2,060","2,240","2,290","1,980","339,87M","-7,62%"
16,Jul 2019,"2,230","2,550","2,660","2,230","395,49M","-11,51%"
17,Jun 2019,"2,520","2,740","2,810","2,400","360,53M","-8,70%"
18,May 2019,"2,760","2,860","2,920","2,670","317,20M","-2,82%"
19,Abr 2019,"2,840","2,850","3,000","2,770","634,77M","2,16%"
20,Mar 2019,"2,780","3,160","3,160","2,740","330,09M","-11,46%"
21,Feb 2019,"3,140","3,130","3,190","2,850","425,35M","-4,85%"
22,Ene 2019,"3,300","3,120","3,400","3,060","318,43M","4,43%"
