,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"0,131","0,114","0,136","0,112","47,95M","16,24%"
1,Oct 2020,"0,113","0,107","0,127","0,103","6,24M","6,02%"
2,Sep 2020,"0,106","0,117","0,124","0,102","4,17M","-8,60%"
3,Ago 2020,"0,116","0,121","0,128","0,111","7,75M","4,03%"
4,Jul 2020,"0,112","0,112","0,133","0,107","3,08M","0,45%"
5,Jun 2020,"0,111","0,119","0,137","0,105","3,24M","-2,96%"
6,May 2020,"0,115","0,132","0,148","0,110","51,39M","-12,44%"
7,Abr 2020,"0,131","0,107","0,153","0,105","19,39M","24,64%"
8,Mar 2020,"0,105","0,080","0,123","0,054","94,51M","33,04%"
9,Feb 2020,"0,079","0,102","0,105","0,076","332,12M","-22,55%"
10,Ene 2020,"0,102","0,104","0,118","0,102","217,50M","0,00%"
11,Dic 2019,"0,102","0,120","0,127","0,100","362,95M","-12,07%"
12,Nov 2019,"0,116","0,164","0,295","0,093","557,02M","-33,71%"
13,Oct 2019,"0,175","0,153","0,215","0,119","95,18M","12,18%"
14,Sep 2019,"0,156","0,141","0,161","0,130","39,40M","9,09%"
15,Ago 2019,"0,143","0,153","0,156","0,134","17,89M","-6,54%"
16,Jul 2019,"0,153","0,156","0,171","0,146","904,51M","-1,29%"
17,Jun 2019,"0,155","0,182","0,189","0,148","57,46M","-10,40%"
18,May 2019,"0,173","0,182","0,205","0,173","381,54M","-4,95%"
19,Abr 2019,"0,182","0,191","0,194","0,165","387,15M","-4,71%"
20,Mar 2019,"0,191","0,169","0,192","0,153","511,82M","14,37%"
21,Feb 2019,"0,167","0,131","0,224","0,118","750,24M","33,60%"
22,Ene 2019,"0,125","0,152","0,158","0,119","386,26M","-7,41%"
