,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"72,580","62,750","73,490","61,910","19,43K","16,13%"
1,Oct 2020,"62,500","63,770","69,600","59,340","13,33K","0,40%"
2,Sep 2020,"62,250","69,490","75,070","57,830","7,54K","-9,90%"
3,Ago 2020,"69,090","62,140","76,010","60,700","10,72K","11,42%"
4,Jul 2020,"62,010","62,800","70,650","60,960","21,29K","-2,71%"
5,Jun 2020,"63,740","59,100","85,000","57,610","25,89K","11,82%"
6,May 2020,"57,000","55,380","64,280","48,300","44,34K","-1,04%"
7,Abr 2020,"57,600","58,340","65,000","49,560","130,32K","-3,92%"
8,Mar 2020,"59,950","109,760","114,160","48,000","36,54K","-44,23%"
9,Feb 2020,"107,500","133,000","138,920","105,580","153,49K","-19,51%"
10,Ene 2020,"133,560","132,740","139,260","130,500","89,57K","2,63%"
11,Dic 2019,"130,140","133,500","134,880","122,700","86,61K","-2,27%"
12,Nov 2019,"133,160","129,340","137,120","128,000","74,81K","3,40%"
13,Oct 2019,"128,780","120,360","130,100","114,480","59,04K","8,07%"
14,Sep 2019,"119,160","126,100","128,800","117,660","63,70K","-4,78%"
15,Ago 2019,"125,140","128,000","130,000","119,960","70,77K","-2,55%"
16,Jul 2019,"128,420","124,000","134,900","122,840","62,03K","3,26%"
17,Jun 2019,"124,360","113,380","126,220","112,760","57,52K","9,01%"
18,May 2019,"114,080","120,000","123,000","112,680","58,79K","-5,80%"
19,Abr 2019,"121,100","118,500","124,920","116,620","79,03K","2,98%"
20,Mar 2019,"117,600","114,100","119,440","109,620","140,49K","3,48%"
21,Feb 2019,"113,640","101,240","114,000","99,660","137,39K","13,46%"
22,Ene 2019,"100,160","85,000","101,580","79,920","103,07K","19,59%"
