,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"3,530","3,230","3,545","3,210","497,22K","9,12%"
1,Oct 2020,"3,235","3,445","3,535","3,165","692,86K","-5,96%"
2,Sep 2020,"3,440","3,330","3,765","3,250","263,30K","3,77%"
3,Ago 2020,"3,315","3,650","3,680","3,210","393,50K","-7,14%"
4,Jul 2020,"3,570","3,680","3,755","3,340","513,89K","-1,38%"
5,Jun 2020,"3,620","3,670","4,050","3,555","507,49K","-0,41%"
6,May 2020,"3,635","3,965","3,975","3,450","615,03K","-9,01%"
7,Abr 2020,"3,995","3,575","4,140","3,420","629,80K","12,69%"
8,Mar 2020,"3,545","4,340","4,435","2,970","378,46K","-18,51%"
9,Feb 2020,"4,350","4,880","5,160","4,150","8,17M","-11,59%"
10,Ene 2020,"4,920","5,050","5,470","4,810","6,32M","-1,60%"
11,Dic 2019,"5,000","5,139","5,305","4,960","7,86M","-3,98%"
12,Nov 2019,"5,207","5,061","5,344","4,729","6,62M","3,68%"
13,Oct 2019,"5,022","4,534","5,041","4,339","9,36M","10,25%"
14,Sep 2019,"4,555","4,652","4,759","4,317","7,87M","-4,61%"
15,Ago 2019,"4,775","4,485","4,880","4,330","7,75M","6,70%"
16,Jul 2019,"4,475","4,145","4,550","4,105","11,73M","7,96%"
17,Jun 2019,"4,145","3,900","4,250","3,815","5,27M","5,87%"
18,May 2019,"3,915","4,110","4,140","3,885","5,55M","-4,28%"
19,Abr 2019,"4,090","3,800","4,165","3,685","10,04M","8,49%"
20,Mar 2019,"3,770","3,350","3,875","3,330","8,05M","13,90%"
21,Feb 2019,"3,310","3,280","3,395","3,180","4,85M","0,91%"
22,Ene 2019,"3,280","2,950","3,320","2,925","6,85M","10,44%"
