,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"17,210","15,990","17,328","15,930","1,34M","7,90%"
1,Oct 2020,"15,950","17,120","18,345","15,665","1,45M","-6,83%"
2,Sep 2020,"17,120","16,160","17,875","16,100","902,17K","5,94%"
3,Ago 2020,"16,160","15,745","16,883","15,420","814,06K","2,67%"
4,Jul 2020,"15,740","16,515","17,520","15,740","1,26M","-4,98%"
5,Jun 2020,"16,565","16,935","17,915","15,973","1,29M","-0,78%"
6,May 2020,"16,695","15,635","17,067","15,300","3,04M","3,63%"
7,Abr 2020,"16,110","16,100","16,575","14,720","1,20M","-0,03%"
8,Mar 2020,"16,115","21,310","21,695","13,807","3,43M","-23,37%"
9,Feb 2020,"21,030","23,780","24,760","20,760","31,61M","-11,64%"
10,Ene 2020,"23,800","22,470","23,960","22,060","24,86M","6,25%"
11,Dic 2019,"22,400","23,640","23,680","22,370","25,35M","-5,08%"
12,Nov 2019,"23,600","24,480","24,660","23,380","32,69M","-3,32%"
13,Oct 2019,"24,410","24,350","24,980","23,350","25,73M","0,29%"
14,Sep 2019,"24,340","24,000","24,610","22,600","28,03M","2,27%"
15,Ago 2019,"23,800","22,880","24,080","22,870","19,55M","3,93%"
16,Jul 2019,"22,900","24,360","24,960","22,130","35,49M","-5,49%"
17,Jun 2019,"24,230","25,290","26,100","24,230","30,76M","-5,09%"
18,May 2019,"25,530","25,230","27,110","25,190","32,33M","0,83%"
19,Abr 2019,"25,320","25,050","25,600","24,360","17,83M","1,56%"
20,Mar 2019,"24,930","24,000","25,190","23,600","34,04M","4,44%"
21,Feb 2019,"23,870","24,300","24,490","23,560","21,94M","-1,97%"
22,Ene 2019,"24,350","22,010","24,430","21,810","22,00M","9,39%"
