,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"2,71","2,66","2,78","2,60","924,65K","3,28%"
1,Oct 2020,"2,62","2,50","2,72","2,24","1,92M","6,15%"
2,Sep 2020,"2,47","2,25","2,52","2,01","1,60M","10,26%"
3,Ago 2020,"2,24","2,05","2,32","1,99","530,22K","9,90%"
4,Jul 2020,"2,04","2,24","2,44","1,84","2,41M","-8,93%"
5,Jun 2020,"2,24","2,74","3,08","2,19","1,27M","-15,60%"
6,May 2020,"2,65","2,35","2,88","2,16","664,19K","14,40%"
7,Abr 2020,"2,32","2,29","2,47","2,14","693,66K","0,00%"
8,Mar 2020,"2,32","3,28","3,28","2,11","888,16K","-26,22%"
9,Feb 2020,"3,15","3,70","3,77","2,86","26,46M","-14,40%"
10,Ene 2020,"3,68","4,24","4,40","3,63","14,88M","-14,22%"
11,Dic 2019,"4,29","4,18","4,34","4,04","13,48M","2,39%"
12,Nov 2019,"4,19","3,77","4,33","3,30","34,69M","9,11%"
13,Oct 2019,"3,84","4,32","4,36","3,79","22,45M","-10,28%"
14,Sep 2019,"4,28","4,05","4,69","3,95","12,54M","5,16%"
15,Ago 2019,"4,07","4,70","4,73","3,86","14,05M","-13,95%"
16,Jul 2019,"4,73","5,25","5,33","4,54","17,34M","-9,21%"
17,Jun 2019,"5,21","5,01","5,24","4,87","10,24M","3,37%"
18,May 2019,"5,04","5,75","5,75","5,00","13,12M","-11,27%"
19,Abr 2019,"5,68","5,21","5,88","5,21","10,82M","10,51%"
20,Mar 2019,"5,14","5,39","5,75","5,07","17,09M","-3,93%"
21,Feb 2019,"5,35","5,16","5,53","4,98","17,85M","4,70%"
22,Ene 2019,"5,11","4,92","5,62","4,90","16,98M","2,82%"
