,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"15,940","14,660","16,000","14,560","110,26K","9,93%"
1,Oct 2020,"14,500","14,880","17,220","14,200","149,60K","-1,09%"
2,Sep 2020,"14,660","13,640","14,800","12,940","182,54K","8,27%"
3,Ago 2020,"13,540","16,200","16,360","13,460","306,61K","-16,21%"
4,Jul 2020,"16,160","16,420","18,040","15,740","155,36K","-1,22%"
5,Jun 2020,"16,360","17,240","18,100","16,360","117,37K","-4,99%"
6,May 2020,"17,220","18,640","19,320","17,200","182,08K","-8,89%"
7,Abr 2020,"18,900","18,420","20,650","17,000","147,10K","4,07%"
8,Mar 2020,"18,160","20,150","21,200","14,280","140,46K","-9,20%"
9,Feb 2020,"20,000","20,650","23,650","19,720","2,74M","-2,91%"
10,Ene 2020,"20,600","21,000","22,400","20,450","2,82M","-0,96%"
11,Dic 2019,"20,800","20,750","21,300","19,980","2,47M","0,24%"
12,Nov 2019,"20,750","19,500","20,900","19,180","3,06M","6,52%"
13,Oct 2019,"19,480","18,540","20,200","17,820","3,13M","5,07%"
14,Sep 2019,"18,540","19,340","19,460","17,900","13,53M","-3,64%"
15,Ago 2019,"19,240","20,600","20,800","18,820","3,22M","-6,15%"
16,Jul 2019,"20,500","18,620","20,550","18,300","4,42M","12,02%"
17,Jun 2019,"18,300","16,200","18,360","15,880","3,18M","15,24%"
18,May 2019,"15,880","17,100","17,600","15,820","1,85M","-7,57%"
19,Abr 2019,"17,180","18,400","18,400","16,540","2,23M","-2,83%"
20,Mar 2019,"17,680","16,920","18,000","16,440","2,35M","5,11%"
21,Feb 2019,"16,820","16,560","17,580","15,600","3,97M","3,19%"
22,Ene 2019,"16,300","15,800","17,260","15,780","3,91M","0,99%"
