,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"25,870","23,355","25,965","23,315","558,17K","11,56%"
1,Oct 2020,"23,190","25,065","27,720","22,955","884,77K","-5,69%"
2,Sep 2020,"24,590","22,810","24,835","21,415","1,02M","8,28%"
3,Ago 2020,"22,710","24,800","25,174","22,415","893,23K","-8,06%"
4,Jul 2020,"24,700","27,040","27,990","24,500","1,16M","-8,62%"
5,Jun 2020,"27,030","28,360","29,100","26,465","763,49K","-1,46%"
6,May 2020,"27,430","30,180","30,450","26,400","2,98M","-11,69%"
7,Abr 2020,"31,060","30,190","33,890","29,115","1,03M","0,10%"
8,Mar 2020,"31,030","29,810","32,990","23,570","1,30M","7,00%"
9,Feb 2020,"29,000","30,420","34,310","28,760","19,29M","-4,29%"
10,Ene 2020,"30,300","31,690","33,110","30,130","20,87M","-3,60%"
11,Dic 2019,"31,430","31,020","32,310","30,080","15,66M","1,35%"
12,Nov 2019,"31,010","28,920","31,240","28,210","20,81M","7,38%"
13,Oct 2019,"28,880","27,140","29,990","26,260","21,96M","6,80%"
14,Sep 2019,"27,040","28,810","29,050","26,320","19,60M","-6,11%"
15,Ago 2019,"28,800","29,330","29,640","27,980","15,84M","-1,71%"
16,Jul 2019,"29,300","26,260","29,620","25,920","24,92M","12,69%"
17,Jun 2019,"26,000","23,120","26,000","22,730","15,23M","13,14%"
18,May 2019,"22,980","24,670","25,070","22,600","18,74M","-7,11%"
19,Abr 2019,"24,740","25,100","25,720","23,750","14,48M","-0,88%"
20,Mar 2019,"24,960","23,190","25,400","22,900","16,57M","9,19%"
21,Feb 2019,"22,860","22,910","24,140","21,750","15,21M","0,48%"
22,Ene 2019,"22,750","22,560","24,720","22,180","24,44M","-0,66%"
