,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"11,127","10,160","11,152","10,102","10,35M","9,90%"
1,Oct 2020,"10,125","10,620","11,312","10,075","16,67M","-3,66%"
2,Sep 2020,"10,510","10,650","10,895","10,205","11,50M","-0,38%"
3,Ago 2020,"10,550","10,870","11,190","10,520","13,76M","-3,39%"
4,Jul 2020,"10,920","10,320","11,515","10,265","13,81M","9,71%"
5,Jun 2020,"9,954","9,775","10,455","9,193","11,72M","5,08%"
6,May 2020,"9,473","8,900","9,844","8,215","73,44M","6,00%"
7,Abr 2020,"8,937","8,730","9,398","8,245","16,40M","1,74%"
8,Mar 2020,"8,784","10,500","11,250","7,588","19,84M","-14,88%"
9,Feb 2020,"10,320","9,898","11,345","9,866","475,71M","4,56%"
10,Ene 2020,"9,870","9,077","10,010","8,780","373,16M","9,06%"
11,Dic 2019,"9,050","8,791","9,213","8,444","317,72M","2,83%"
12,Nov 2019,"8,801","9,129","9,129","8,642","326,69M","-3,04%"
13,Oct 2019,"9,077","9,397","9,442","8,892","358,74M","-4,81%"
14,Sep 2019,"9,536","9,350","9,572","9,060","358,12M","1,97%"
15,Ago 2019,"9,352","8,522","9,438","8,512","307,39M","9,12%"
16,Jul 2019,"8,570","8,666","8,878","8,416","343,43M","-0,33%"
17,Jun 2019,"8,598","8,123","8,951","8,104","440,61M","5,43%"
18,May 2019,"8,155","7,917","8,396","7,699","331,68M","2,67%"
19,Abr 2019,"7,943","7,699","8,039","7,458","326,25M","1,50%"
20,Mar 2019,"7,826","7,360","7,912","7,276","407,61M","6,45%"
21,Feb 2019,"7,352","7,232","7,440","7,100","275,54M","2,11%"
22,Ene 2019,"7,200","6,817","7,200","6,735","416,95M","4,56%"
