,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"23,600","21,320","23,745","20,890","24,85M","11,37%"
1,Oct 2020,"21,190","24,100","24,625","20,855","8,59M","-10,97%"
2,Sep 2020,"23,800","23,480","26,005","22,460","2,49M","1,06%"
3,Ago 2020,"23,550","22,450","24,290","22,035","3,44M","4,57%"
4,Jul 2020,"22,520","23,710","24,850","22,365","3,21M","-4,45%"
5,Jun 2020,"23,570","25,550","27,225","23,200","3,27M","-5,91%"
6,May 2020,"25,050","22,820","25,490","21,535","4,44M","7,74%"
7,Abr 2020,"23,250","23,490","26,710","21,560","7,26M","-1,73%"
8,Mar 2020,"23,660","28,480","28,790","18,510","4,36M","-15,89%"
9,Feb 2020,"28,130","30,450","32,280","26,940","67,65M","-7,38%"
10,Ene 2020,"30,370","31,750","32,190","30,330","62,29M","-3,43%"
11,Dic 2019,"31,450","28,350","32,190","27,570","73,90M","11,29%"
12,Nov 2019,"28,260","28,030","28,790","26,890","232,29M","1,11%"
13,Oct 2019,"27,950","28,500","29,000","27,220","226,46M","-1,58%"
14,Sep 2019,"28,400","28,050","29,000","26,420","79,75M","1,00%"
15,Ago 2019,"28,120","26,940","28,380","25,330","60,49M","4,03%"
16,Jul 2019,"27,030","26,720","27,830","26,200","68,20M","2,19%"
17,Jun 2019,"26,450","23,940","26,600","23,770","76,05M","9,98%"
18,May 2019,"24,050","26,810","26,850","23,920","224,49M","-10,83%"
19,Abr 2019,"26,970","26,370","28,140","26,050","263,30M","2,94%"
20,Mar 2019,"26,200","26,660","27,070","24,660","93,69M","-1,28%"
21,Feb 2019,"26,540","24,400","26,630","23,980","66,46M","8,99%"
22,Ene 2019,"24,350","22,160","24,770","21,850","79,81M","8,95%"
