,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"5,723","5,160","5,750","5,053","654,86K","11,13%"
1,Oct 2020,"5,150","6,115","6,332","5,030","1,08M","-15,23%"
2,Sep 2020,"6,075","6,110","6,945","5,800","650,31K","-0,25%"
3,Ago 2020,"6,090","6,245","6,697","6,050","965,18K","-4,40%"
4,Jul 2020,"6,370","6,350","7,345","6,015","1,38M","-8,93%"
5,Jun 2020,"6,995","7,075","8,348","6,732","1,53M","0,65%"
6,May 2020,"6,950","7,760","7,925","6,540","995,77K","-11,63%"
7,Abr 2020,"7,865","7,255","8,600","6,860","512,08K","5,57%"
8,Mar 2020,"7,450","9,960","10,480","6,810","504,16K","-24,52%"
9,Feb 2020,"9,870","10,400","11,350","9,060","13,25M","-4,73%"
10,Ene 2020,"10,360","10,280","11,380","9,920","14,57M","1,77%"
11,Dic 2019,"10,180","9,750","10,400","9,090","13,72M","4,57%"
12,Nov 2019,"9,735","8,660","9,795","8,575","16,41M","12,41%"
13,Oct 2019,"8,660","8,000","8,775","7,245","14,35M","9,07%"
14,Sep 2019,"7,940","7,220","8,490","7,065","17,35M","10,89%"
15,Ago 2019,"7,160","7,665","7,790","6,615","13,16M","-7,85%"
16,Jul 2019,"7,770","8,980","9,140","7,770","13,75M","-12,60%"
17,Jun 2019,"8,890","9,305","10,190","8,615","11,16M","-5,73%"
18,May 2019,"9,430","10,520","10,520","9,310","10,27M","-10,19%"
19,Abr 2019,"10,500","9,900","10,570","9,840","9,74M","6,11%"
20,Mar 2019,"9,895","9,690","10,150","9,420","11,43M","3,99%"
21,Feb 2019,"9,515","8,970","9,890","8,900","8,92M","5,96%"
22,Ene 2019,"8,980","8,150","9,250","7,890","9,84M","9,05%"
