,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"36,000","31,000","37,500","31,000","197,34K","17,65%"
1,Oct 2020,"30,600","31,800","33,800","30,200","59,25K","-2,55%"
2,Sep 2020,"31,400","28,400","32,000","27,600","47,29K","11,74%"
3,Ago 2020,"28,100","29,100","29,500","27,100","37,44K","-3,10%"
4,Jul 2020,"29,000","25,700","33,600","24,300","32,62K","14,62%"
5,Jun 2020,"25,300","23,800","25,300","21,900","20,34K","9,52%"
6,May 2020,"23,100","25,600","26,600","22,300","23,53K","-10,81%"
7,Abr 2020,"25,900","22,200","27,100","21,100","21,29K","14,10%"
8,Mar 2020,"22,700","25,000","26,000","20,000","18,47K","-6,97%"
9,Feb 2020,"24,400","25,000","27,000","24,300","758,46K","-2,01%"
10,Ene 2020,"24,900","24,800","26,000","24,200","539,40K","2,05%"
11,Dic 2019,"24,400","23,700","25,300","23,400","505,67K","2,09%"
12,Nov 2019,"23,900","22,100","25,500","21,700","587,78K","8,14%"
13,Oct 2019,"22,100","21,300","22,700","20,100","425,79K","0,91%"
14,Sep 2019,"21,900","23,400","23,400","19,850","253,60K","-3,10%"
15,Ago 2019,"22,600","20,900","24,400","20,400","608,96K","8,13%"
16,Jul 2019,"20,900","19,900","21,700","19,850","395,30K","3,98%"
17,Jun 2019,"20,100","19,250","22,000","19,100","106,81K","3,88%"
18,May 2019,"19,350","18,550","19,750","17,300","1,47M","5,16%"
19,Abr 2019,"18,400","19,200","19,200","17,900","162,85K","-1,87%"
20,Mar 2019,"18,750","18,350","19,550","16,900","527,03K","1,90%"
21,Feb 2019,"18,400","18,350","18,900","17,700","167,16K","-0,54%"
22,Ene 2019,"18,500","17,800","19,400","17,200","190,48K","6,02%"
