,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"15,16","14,50","15,24","14,16","270,46K","4,70%"
1,Oct 2020,"14,48","14,70","14,86","13,94","270,49K","-0,82%"
2,Sep 2020,"14,60","14,94","15,40","14,40","93,57K","-1,75%"
3,Ago 2020,"14,86","15,90","16,26","14,86","169,70K","-5,59%"
4,Jul 2020,"15,74","16,50","16,84","15,62","109,97K","-5,18%"
5,Jun 2020,"16,60","16,62","17,60","16,04","96,93K","0,12%"
6,May 2020,"16,58","16,16","17,28","15,74","554,42K","1,97%"
7,Abr 2020,"16,26","14,06","16,60","14,04","80,97K","11,45%"
8,Mar 2020,"14,59","18,86","18,99","12,94","180,58K","-20,58%"
9,Feb 2020,"18,37","20,28","20,90","17,94","3,14M","-9,33%"
10,Ene 2020,"20,26","20,02","21,28","19,90","2,49M","0,80%"
11,Dic 2019,"20,10","20,60","21,40","20,10","2,95M","-1,86%"
12,Nov 2019,"20,48","18,88","20,86","18,84","2,50M","8,99%"
13,Oct 2019,"18,79","17,90","19,19","16,87","5,85M","5,09%"
14,Sep 2019,"17,88","17,81","18,51","17,57","3,50M","0,06%"
15,Ago 2019,"17,87","18,85","19,00","17,65","2,39M","-5,35%"
16,Jul 2019,"18,88","20,04","20,52","18,74","3,28M","-5,22%"
17,Jun 2019,"19,92","19,70","20,44","19,00","4,67M","0,66%"
18,May 2019,"19,79","21,10","21,96","19,68","4,40M","-6,39%"
19,Abr 2019,"21,14","21,04","21,54","20,66","3,20M","0,67%"
20,Mar 2019,"21,00","22,10","22,20","20,34","3,45M","-5,15%"
21,Feb 2019,"22,14","22,36","22,76","21,90","2,73M","-1,77%"
22,Ene 2019,"22,54","21,88","23,08","21,50","3,83M","3,11%"
