,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"128,300","117,200","129,900","115,200","183,52K","11,47%"
1,Oct 2020,"115,100","108,800","147,900","106,100","165,34K","6,57%"
2,Sep 2020,"108,000","85,250","109,000","78,000","168,77K","26,61%"
3,Ago 2020,"85,300","89,850","93,000","80,150","90,08K","-4,21%"
4,Jul 2020,"89,050","7,720","128,500","7,550","213,80K","-1,06%"
5,Jun 2020,"90,000","6,235","97,740","5,620","196,49K","21,46%"
6,May 2020,"74,100","5,320","74,580","4,850","409,37K","10,96%"
7,Abr 2020,"66,780","4,210","75,120","4,100","255,04K","33,20%"
8,Mar 2020,"50,136","4,166","57,480","2,500","107,89K","1.175,08%"
9,Feb 2020,"3,932","4,098","5,000","3,628","60,10M","-4,98%"
10,Ene 2020,"4,138","3,720","4,316","3,522","73,47M","15,91%"
11,Dic 2019,"3,570","2,248","3,846","2,180","57,72M","60,81%"
12,Nov 2019,"2,220","1,913","2,334","1,760","22,50M","16,41%"
13,Oct 2019,"1,907","1,825","2,080","1,735","18,65M","4,61%"
14,Sep 2019,"1,823","2,030","2,074","1,760","13,29M","-9,48%"
15,Ago 2019,"2,014","1,521","2,216","1,472","25,56M","28,44%"
16,Jul 2019,"1,568","1,810","1,969","1,504","21,02M","-13,08%"
17,Jun 2019,"1,804","2,412","2,412","1,702","28,85M","-24,96%"
18,May 2019,"2,404","2,114","2,420","1,937","32,76M","14,04%"
19,Abr 2019,"2,108","1,480","2,140","1,475","39,80M","42,92%"
20,Mar 2019,"1,475","1,460","1,583","1,351","15,58M","0,89%"
21,Feb 2019,"1,462","1,294","1,529","1,220","20,10M","13,07%"
22,Ene 2019,"1,293","1,107","1,510","1,078","25,61M","18,62%"
