,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"16,040","15,175","16,247","15,060","632,80K","6,05%"
1,Oct 2020,"15,125","16,100","16,348","14,963","1,22M","-5,56%"
2,Sep 2020,"16,015","16,100","16,558","15,742","3,61M","-0,06%"
3,Ago 2020,"16,025","16,562","16,815","15,860","959,79K","-3,00%"
4,Jul 2020,"16,520","16,540","17,328","16,492","1,99M","-0,51%"
5,Jun 2020,"16,605","16,000","17,645","15,895","3,31M","4,83%"
6,May 2020,"15,840","15,780","16,550","15,320","3,25M","4,28%"
7,Abr 2020,"15,190","16,120","16,578","14,895","1,71M","-7,18%"
8,Mar 2020,"16,365","17,430","18,300","13,100","2,17M","-5,65%"
9,Feb 2020,"17,345","18,060","19,740","17,050","38,86M","-3,83%"
10,Ene 2020,"18,035","18,010","18,425","17,165","43,58M","0,61%"
11,Dic 2019,"17,925","17,715","18,210","17,235","39,72M","0,99%"
12,Nov 2019,"17,750","18,085","18,175","17,080","47,07M","-1,66%"
13,Oct 2019,"18,050","18,635","18,900","17,835","37,59M","-3,14%"
14,Sep 2019,"18,635","18,070","18,770","17,750","31,73M","2,81%"
15,Ago 2019,"18,125","17,080","18,135","17,020","31,99M","5,99%"
16,Jul 2019,"17,100","18,540","19,025","16,740","88,37M","-6,63%"
17,Jun 2019,"18,315","18,975","19,930","18,305","69,95M","-3,76%"
18,May 2019,"19,030","18,500","19,970","18,170","37,21M","2,95%"
19,Abr 2019,"18,485","19,050","19,120","18,010","33,03M","-2,71%"
20,Mar 2019,"19,000","18,935","19,590","18,330","39,33M","0,00%"
21,Feb 2019,"19,000","20,160","20,370","18,600","36,92M","-5,47%"
22,Ene 2019,"20,100","19,300","20,160","19,065","35,12M","3,10%"
