,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"5,866","5,340","5,950","5,260","9,13M","9,85%"
1,Oct 2020,"5,340","5,765","6,426","5,038","9,00M","-6,68%"
2,Sep 2020,"5,722","6,730","6,760","5,615","17,51M","-13,59%"
3,Ago 2020,"6,622","6,980","7,295","6,466","7,83M","0,64%"
4,Jul 2020,"6,580","6,840","8,136","6,567","11,23M","-15,49%"
5,Jun 2020,"7,786","8,575","10,072","7,643","10,21M","-1,81%"
6,May 2020,"7,929","7,990","9,172","7,230","19,39M","0,67%"
7,Abr 2020,"7,876","8,220","8,970","6,749","11,01M","-0,22%"
8,Mar 2020,"7,893","10,520","10,672","5,608","15,74M","-22,08%"
9,Feb 2020,"10,130","12,465","12,970","10,015","240,53M","-18,73%"
10,Ene 2020,"12,465","14,030","14,475","12,410","171,50M","-10,52%"
11,Dic 2019,"13,930","13,957","14,323","13,630","134,84M","-0,05%"
12,Nov 2019,"13,937","14,708","15,278","13,898","143,42M","-2,79%"
13,Oct 2019,"14,337","13,996","14,932","13,289","146,47M","3,01%"
14,Sep 2019,"13,918","12,846","14,010","12,846","151,52M","5,28%"
15,Ago 2019,"13,220","14,415","14,415","12,365","167,81M","-8,10%"
16,Jul 2019,"14,385","13,910","14,680","13,225","230,92M","4,35%"
17,Jun 2019,"13,785","13,982","14,465","13,580","219,58M","-2,23%"
18,May 2019,"14,099","14,786","14,786","13,811","165,61M","-4,43%"
19,Abr 2019,"14,752","14,928","15,176","14,236","141,98M","0,12%"
20,Mar 2019,"14,734","14,695","15,120","14,198","133,44M","-2,59%"
21,Feb 2019,"15,125","15,280","15,520","14,800","119,38M","-1,34%"
22,Ene 2019,"15,330","13,980","15,335","13,785","157,91M","8,88%"
