,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"18,870","16,840","19,210","16,470","679,98K","12,99%"
1,Oct 2020,"16,700","16,350","19,390","15,640","660,82K","3,41%"
2,Sep 2020,"16,150","17,290","17,350","13,060","737,81K","-5,56%"
3,Ago 2020,"17,100","12,820","17,140","12,550","829,77K","33,28%"
4,Jul 2020,"12,830","11,430","13,310","11,230","463,17K","13,34%"
5,Jun 2020,"11,320","10,110","11,640","8,920","419,48K","13,26%"
6,May 2020,"9,995","9,255","10,080","8,160","914,73K","7,42%"
7,Abr 2020,"9,305","7,600","10,090","7,405","486,40K","21,32%"
8,Mar 2020,"7,670","8,980","9,750","5,550","550,87K","-11,48%"
9,Feb 2020,"8,665","8,450","10,250","7,870","19,64M","2,54%"
10,Ene 2020,"8,450","6,830","8,630","6,705","15,06M","24,26%"
11,Dic 2019,"6,800","6,930","6,980","6,450","8,49M","-0,66%"
12,Nov 2019,"6,845","6,960","7,340","6,265","11,04M","-1,30%"
13,Oct 2019,"6,935","5,715","7,190","5,600","19,28M","21,67%"
14,Sep 2019,"5,700","5,355","5,800","5,050","8,72M","5,56%"
15,Ago 2019,"5,400","5,400","5,700","4,950","5,82M","0,47%"
16,Jul 2019,"5,375","5,120","6,125","4,900","17,33M","6,75%"
17,Jun 2019,"5,035","4,622","5,140","4,002","10,06M","8,05%"
18,May 2019,"4,660","5,230","5,250","4,336","10,47M","-10,13%"
19,Abr 2019,"5,185","4,764","5,420","4,724","13,32M","9,62%"
20,Mar 2019,"4,730","5,260","5,440","4,430","14,27M","-10,59%"
21,Feb 2019,"5,290","5,410","5,830","4,910","15,91M","-1,86%"
22,Ene 2019,"5,390","3,950","5,630","3,890","24,02M","35,94%"
