,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"7,005","6,825","7,170","6,625","266,80K","2,26%"
1,Oct 2020,"6,850","9,130","9,900","6,490","302,90K","-24,97%"
2,Sep 2020,"9,130","10,940","10,940","8,790","139,15K","-14,75%"
3,Ago 2020,"10,710","10,600","11,780","10,070","111,53K","1,32%"
4,Jul 2020,"10,570","13,890","14,330","10,460","282,71K","-21,70%"
5,Jun 2020,"13,500","14,345","17,300","13,360","164,93K","-3,57%"
6,May 2020,"14,000","13,500","14,490","12,120","191,44K","0,14%"
7,Abr 2020,"13,980","11,460","15,000","11,400","159,88K","19,39%"
8,Mar 2020,"11,710","20,890","20,900","10,010","85,75K","-42,54%"
9,Feb 2020,"20,380","21,940","22,800","19,610","3,69M","-7,36%"
10,Ene 2020,"22,000","23,720","24,220","21,800","2,50M","-7,56%"
11,Dic 2019,"23,800","22,220","23,880","21,260","3,02M","7,59%"
12,Nov 2019,"22,120","22,360","24,580","22,060","2,94M","-1,86%"
13,Oct 2019,"22,540","22,260","23,960","21,520","2,25M","0,00%"
14,Sep 2019,"22,540","22,620","24,140","21,400","2,19M","-1,05%"
15,Ago 2019,"22,780","22,160","23,280","20,220","3,34M","4,21%"
16,Jul 2019,"21,860","22,900","23,160","20,900","4,31M","-3,10%"
17,Jun 2019,"22,560","22,540","24,560","22,040","5,58M","0,36%"
18,May 2019,"22,480","26,360","26,660","22,060","3,52M","-15,49%"
19,Abr 2019,"26,600","25,300","27,240","25,140","3,94M","6,10%"
20,Mar 2019,"25,070","24,000","25,800","22,980","3,79M","6,59%"
21,Feb 2019,"23,520","22,780","23,820","21,820","2,79M","5,33%"
22,Ene 2019,"22,330","21,350","23,380","20,610","3,81M","4,64%"
