,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"0,2550","0,1700","0,2720","0,1572","5,25M","53,99%"
1,Oct 2020,"0,1656","0,1142","0,2850","0,1078","2,06M","49,19%"
2,Sep 2020,"0,1110","0,1180","0,1240","0,1062","116,69K","-7,50%"
3,Ago 2020,"0,1200","0,1148","0,1318","0,1102","42,00K","4,35%"
4,Jul 2020,"0,1150","0,1300","0,1370","0,1104","49,20K","-13,53%"
5,Jun 2020,"0,1330","0,1282","0,1650","0,1282","53,80K","3,74%"
6,May 2020,"0,1282","0,1538","0,1550","0,1240","171,85K","-15,88%"
7,Abr 2020,"0,1524","0,1192","0,1696","0,1192","1,24M","27,00%"
8,Mar 2020,"0,1200","0,1802","0,1930","0,1020","653,75K","-35,14%"
9,Feb 2020,"0,1850","0,2070","0,2085","0,1702","6,71M","-4,74%"
10,Ene 2020,"0,1942","0,1902","0,2410","0,1902","17,06M","1,36%"
11,Dic 2019,"0,1916","0,1980","0,2230","0,1872","13,14M","-2,34%"
12,Nov 2019,"0,1962","0,2010","0,2150","0,1940","8,43M","-2,39%"
13,Oct 2019,"0,2010","0,2570","0,2600","0,2000","13,94M","-21,79%"
14,Sep 2019,"0,2570","0,1906","0,2770","0,1870","14,00M","38,47%"
15,Ago 2019,"0,1856","0,2250","0,2250","0,1800","4,51M","-13,27%"
16,Jul 2019,"0,2140","0,2360","0,2560","0,2030","6,19M","-8,55%"
17,Jun 2019,"0,2340","0,1950","0,2970","0,1800","23,17M","29,28%"
18,May 2019,"0,1810","0,2215","0,2300","0,1810","8,08M","-20,96%"
19,Abr 2019,"0,2290","0,2485","0,2890","0,1938","14,34M","-7,29%"
20,Mar 2019,"0,2470","0,2615","0,3100","0,2260","15,21M","-2,56%"
21,Feb 2019,"0,2535","0,2690","0,2945","0,2255","15,53M","-1,74%"
22,Ene 2019,"0,2580","0,1546","0,3500","0,1404","43,71M","80,42%"
