,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"57,625","58,250","58,750","56,975","78,38K","-0,56%"
1,Oct 2020,"57,950","57,050","59,200","53,425","194,04K","1,85%"
2,Sep 2020,"56,900","62,150","62,475","55,350","97,28K","-8,23%"
3,Ago 2020,"62,000","62,025","64,325","61,550","62,61K","-0,40%"
4,Jul 2020,"62,250","58,800","62,400","57,050","198,33K","7,14%"
5,Jun 2020,"58,100","59,300","60,450","55,800","123,28K","-1,86%"
6,May 2020,"59,200","58,800","63,100","56,100","133,13K","1,28%"
7,Abr 2020,"58,450","49,840","59,900","49,060","121,60K","17,28%"
8,Mar 2020,"49,840","48,700","54,800","43,290","126,16K","3,19%"
9,Feb 2020,"48,300","48,180","51,400","46,580","2,15M","0,46%"
10,Ene 2020,"48,080","48,000","51,500","47,120","2,12M","2,08%"
11,Dic 2019,"47,100","48,580","50,000","46,880","1,42M","-2,57%"
12,Nov 2019,"48,340","48,920","50,000","46,880","1,87M","-0,49%"
13,Oct 2019,"48,580","43,200","49,740","40,140","3,56M","12,98%"
14,Sep 2019,"43,000","42,440","45,540","40,900","2,09M","1,46%"
15,Ago 2019,"42,380","44,460","47,580","41,840","1,99M","-4,38%"
16,Jul 2019,"44,320","46,160","47,520","40,120","3,14M","-3,78%"
17,Jun 2019,"46,060","46,600","46,640","44,320","2,32M","-0,95%"
18,May 2019,"46,500","53,350","53,850","46,200","2,45M","-13,17%"
19,Abr 2019,"53,550","55,850","56,550","53,450","2,16M","-3,95%"
20,Mar 2019,"55,750","55,000","56,150","53,250","1,62M","8,57%"
21,Feb 2019,"51,350","49,000","53,000","48,660","1,63M","5,57%"
22,Ene 2019,"48,640","47,900","49,780","45,820","1,58M","1,08%"
