,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"92,375","86,925","95,600","85,750","161,18K","6,55%"
1,Oct 2020,"86,700","93,500","98,775","85,150","137,17K","-6,57%"
2,Sep 2020,"92,800","100,200","105,000","91,200","105,47K","-7,39%"
3,Ago 2020,"100,200","93,750","103,650","91,875","67,57K","6,82%"
4,Jul 2020,"93,800","87,200","101,000","84,875","204,99K","7,63%"
5,Jun 2020,"87,150","89,750","98,000","86,050","124,24K","-2,95%"
6,May 2020,"89,800","89,950","89,950","76,300","155,74K","-0,66%"
7,Abr 2020,"90,400","93,150","99,500","85,000","76,84K","-7,14%"
8,Mar 2020,"97,350","116,000","126,700","76,850","140,20K","-14,90%"
9,Feb 2020,"114,400","102,500","118,700","100,000","2,30M","11,72%"
10,Ene 2020,"102,400","94,650","104,200","87,350","2,13M","9,17%"
11,Dic 2019,"93,800","94,400","95,200","91,150","1,33M","-0,21%"
12,Nov 2019,"94,000","93,100","96,300","90,300","2,14M","0,59%"
13,Oct 2019,"93,450","96,950","98,650","88,300","1,88M","-3,76%"
14,Sep 2019,"97,100","97,750","100,200","93,600","1,49M","-0,51%"
15,Ago 2019,"97,600","96,100","99,650","88,250","1,92M","1,35%"
16,Jul 2019,"96,300","95,250","103,500","93,300","2,04M","2,01%"
17,Jun 2019,"94,400","95,200","104,600","93,700","2,40M","-1,51%"
18,May 2019,"95,850","102,600","103,100","93,850","2,16M","-7,21%"
19,Abr 2019,"103,300","100,000","106,600","98,000","2,80M","4,03%"
20,Mar 2019,"99,300","86,000","101,600","86,000","2,61M","16,22%"
21,Feb 2019,"85,440","83,500","85,780","80,300","1,93M","2,82%"
22,Ene 2019,"83,100","73,720","83,480","72,380","2,45M","12,45%"
