,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"7,477","6,860","7,520","6,694","574,09K","9,89%"
1,Oct 2020,"6,804","7,042","7,590","6,600","1,12M","-2,86%"
2,Sep 2020,"7,004","6,790","7,108","6,651","827,37K","3,15%"
3,Ago 2020,"6,790","7,000","7,598","6,760","1,13M","-6,14%"
4,Jul 2020,"7,234","7,438","7,730","6,950","667,14K","0,75%"
5,Jun 2020,"7,180","7,290","8,189","6,760","746,31K","0,64%"
6,May 2020,"7,134","6,658","7,475","6,002","1,19M","3,00%"
7,Abr 2020,"6,926","6,000","7,300","5,950","989,33K","11,49%"
8,Mar 2020,"6,212","8,628","8,820","5,296","886,35K","-25,69%"
9,Feb 2020,"8,360","8,830","9,670","8,130","16,64M","-5,00%"
10,Ene 2020,"8,800","10,050","10,230","8,730","19,68M","-12,35%"
11,Dic 2019,"10,040","9,500","10,100","9,310","18,95M","5,57%"
12,Nov 2019,"9,510","8,420","9,900","8,390","35,27M","13,48%"
13,Oct 2019,"8,380","7,890","8,570","7,300","23,73M","6,75%"
14,Sep 2019,"7,850","7,530","8,680","7,490","23,80M","4,25%"
15,Ago 2019,"7,530","7,510","7,570","6,940","16,98M","-0,79%"
16,Jul 2019,"7,590","8,790","8,870","7,500","23,35M","-12,05%"
17,Jun 2019,"8,630","8,010","8,770","7,720","17,08M","4,35%"
18,May 2019,"8,270","9,110","9,110","8,120","25,54M","-8,72%"
19,Abr 2019,"9,060","8,760","9,570","8,760","18,44M","2,60%"
20,Mar 2019,"8,830","9,410","9,640","8,650","19,10M","-5,16%"
21,Feb 2019,"9,310","9,530","9,890","9,090","20,85M","-2,00%"
22,Ene 2019,"9,500","8,640","9,570","8,350","28,92M","9,70%"
