,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"125,10","115,60","128,20","112,90","121,89K","8,22%"
1,Oct 2020,"115,60","119,30","126,40","111,05","230,40K","-3,10%"
2,Sep 2020,"119,30","125,10","132,80","110,85","338,13K","-4,64%"
3,Ago 2020,"125,10","110,70","130,70","108,55","231,76K","13,42%"
4,Jul 2020,"110,30","118,95","128,25","110,10","265,49K","-7,08%"
5,Jun 2020,"118,70","129,30","144,70","117,85","526,51K","-7,41%"
6,May 2020,"128,20","111,10","136,30","99,28","442,13K","11,00%"
7,Abr 2020,"115,50","99,52","128,10","98,00","206,32K","16,06%"
8,Mar 2020,"99,52","147,30","148,05","89,50","666,41K","-31,37%"
9,Feb 2020,"145,00","167,05","172,35","143,50","4,18M","-13,25%"
10,Ene 2020,"167,15","173,15","177,15","164,90","4,58M","-1,96%"
11,Dic 2019,"170,50","166,90","176,35","162,35","4,43M","2,28%"
12,Nov 2019,"166,70","164,90","170,20","161,85","3,50M","1,34%"
13,Oct 2019,"164,50","168,75","172,20","162,45","4,05M","-2,08%"
14,Sep 2019,"168,00","163,95","168,35","160,85","3,71M","2,44%"
15,Ago 2019,"164,00","163,80","167,55","160,20","3,75M","-0,06%"
16,Jul 2019,"164,10","176,50","179,35","163,85","4,42M","-5,85%"
17,Jun 2019,"174,30","164,20","179,90","163,95","5,61M","5,70%"
18,May 2019,"164,90","166,30","169,00","162,70","5,60M","-0,27%"
19,Abr 2019,"165,35","160,70","166,20","156,15","13,72M","3,02%"
20,Mar 2019,"160,50","158,00","166,45","155,95","5,98M","2,29%"
21,Feb 2019,"156,90","150,95","158,65","147,70","3,32M","4,05%"
22,Ene 2019,"150,80","134,75","153,95","133,95","5,76M","11,09%"
