,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"13,106","11,646","13,198","11,546","937,14K","12,21%"
1,Oct 2020,"11,680","11,384","12,646","11,328","486,66K","2,62%"
2,Sep 2020,"11,382","10,602","11,700","10,156","745,14K","7,34%"
3,Ago 2020,"10,604","9,400","11,094","9,264","1,42M","13,42%"
4,Jul 2020,"9,349","9,265","10,625","9,081","722,86K","-0,15%"
5,Jun 2020,"9,363","8,915","11,094","8,780","854,99K","9,01%"
6,May 2020,"8,589","9,455","10,548","6,981","1,15M","-14,25%"
7,Abr 2020,"10,016","8,661","10,826","7,635","1,40M","15,79%"
8,Mar 2020,"8,650","13,512","13,552","5,980","907,56K","-32,74%"
9,Feb 2020,"12,860","13,380","16,840","12,420","19,03M","-3,60%"
10,Ene 2020,"13,340","15,840","16,130","13,290","12,24M","-14,60%"
11,Dic 2019,"15,620","15,690","17,220","14,600","13,95M","0,45%"
12,Nov 2019,"15,550","13,400","16,030","13,370","20,59M","17,71%"
13,Oct 2019,"13,210","13,100","14,380","11,530","26,91M","2,32%"
14,Sep 2019,"12,910","13,190","15,640","12,430","18,37M","-1,45%"
15,Ago 2019,"13,100","14,390","14,940","11,200","15,74M","-9,84%"
16,Jul 2019,"14,530","16,360","16,490","14,370","11,45M","-7,75%"
17,Jun 2019,"15,750","13,110","16,230","12,900","11,79M","18,60%"
18,May 2019,"13,280","19,180","19,180","12,780","22,78M","-31,37%"
19,Abr 2019,"19,350","18,490","21,430","18,420","12,94M","7,02%"
20,Mar 2019,"18,080","20,270","20,650","17,760","11,68M","-10,63%"
21,Feb 2019,"20,230","20,440","21,770","18,930","10,87M","0,25%"
22,Ene 2019,"20,180","17,990","20,570","17,070","13,14M","11,00%"
