,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"56,67","55,25","57,85","53,84","5,75M","2,81%"
1,Oct 2020,"55,12","52,41","55,12","51,33","1,06M","6,00%"
2,Sep 2020,"52,00","53,68","55,23","50,46","3,79M","-3,13%"
3,Ago 2020,"53,68","52,98","55,03","50,77","817,14K","0,86%"
4,Jul 2020,"53,22","54,35","60,78","50,40","1,45M","5,24%"
5,Jun 2020,"50,57","52,00","54,65","43,91","3,21M","6,52%"
6,May 2020,"47,48","47,03","53,34","43,63","1,96M","6,53%"
7,Abr 2020,"44,57","41,05","50,81","37,01","887,88K","15,32%"
8,Mar 2020,"38,65","44,86","48,51","31,14","1,34M","-11,91%"
9,Feb 2020,"43,87","45,10","49,18","43,63","19,16M","-2,34%"
10,Ene 2020,"44,92","38,78","45,24","38,49","20,10M","17,07%"
11,Dic 2019,"38,37","39,07","39,63","36,66","23,54M","-1,62%"
12,Nov 2019,"39,00","38,68","39,80","36,30","19,70M","0,88%"
13,Oct 2019,"38,66","35,66","42,05","34,97","31,39M","8,99%"
14,Sep 2019,"35,47","34,10","36,50","32,81","17,61M","4,12%"
15,Ago 2019,"34,07","31,72","35,29","31,56","13,84M","7,41%"
16,Jul 2019,"31,72","30,56","33,53","30,09","19,68M","4,27%"
17,Jun 2019,"30,42","29,18","32,00","28,32","20,45M","3,47%"
18,May 2019,"29,40","25,40","29,40","24,05","41,90M","14,70%"
19,Abr 2019,"25,63","24,61","25,63","23,46","25,34M","4,82%"
20,Mar 2019,"24,45","20,26","24,58","20,11","22,77M","22,21%"
21,Feb 2019,"20,01","21,76","22,33","19,50","14,20M","-7,56%"
22,Ene 2019,"21,65","19,52","22,22","19,31","14,13M","9,82%"
