,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"17,450","16,940","17,660","16,610","317,14K","3,87%"
1,Oct 2020,"16,800","16,195","17,790","15,570","357,60K","4,15%"
2,Sep 2020,"16,130","14,700","16,310","14,260","359,34K","11,24%"
3,Ago 2020,"14,500","13,520","15,440","13,355","222,31K","7,49%"
4,Jul 2020,"13,490","15,640","16,390","13,490","337,67K","-13,64%"
5,Jun 2020,"15,620","16,510","18,425","15,245","661,86K","-3,64%"
6,May 2020,"16,210","15,520","18,100","13,440","363,90K","1,38%"
7,Abr 2020,"15,990","14,000","16,600","12,840","295,28K","13,73%"
8,Mar 2020,"14,060","18,640","18,835","9,710","304,69K","-23,00%"
9,Feb 2020,"18,260","19,750","20,720","16,680","7,08M","-7,82%"
10,Ene 2020,"19,810","21,460","21,980","19,730","4,85M","-6,02%"
11,Dic 2019,"21,080","21,960","22,280","20,720","3,83M","-3,66%"
12,Nov 2019,"21,880","22,420","23,440","21,280","4,64M","-1,97%"
13,Oct 2019,"22,320","23,200","23,400","20,500","5,01M","-2,96%"
14,Sep 2019,"23,000","21,120","24,520","20,420","4,13M","9,11%"
15,Ago 2019,"21,080","22,820","22,980","19,310","4,22M","-8,11%"
16,Jul 2019,"22,940","25,380","25,860","22,060","5,61M","-9,90%"
17,Jun 2019,"25,460","21,400","25,680","21,200","4,87M","17,54%"
18,May 2019,"21,660","24,840","25,940","21,400","5,17M","-12,87%"
19,Abr 2019,"24,860","24,400","25,540","23,960","3,77M","3,67%"
20,Mar 2019,"23,980","25,200","25,480","22,160","4,85M","-4,08%"
21,Feb 2019,"25,000","24,560","26,080","23,020","5,14M","2,04%"
22,Ene 2019,"24,500","21,380","25,420","20,560","6,02M","14,27%"
