,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"19,090","18,500","19,170","18,235","565,05K","3,02%"
1,Oct 2020,"18,530","19,880","20,023","18,312","994,20K","-5,92%"
2,Sep 2020,"19,695","20,620","20,865","19,398","852,23K","-3,88%"
3,Ago 2020,"20,490","21,370","22,005","20,460","559,29K","-4,12%"
4,Jul 2020,"21,370","21,820","23,070","20,730","1,05M","-1,75%"
5,Jun 2020,"21,750","20,700","22,560","20,280","1,28M","7,62%"
6,May 2020,"20,210","20,780","22,040","20,100","3,25M","6,14%"
7,Abr 2020,"19,040","17,820","21,530","17,777","523,17K","5,22%"
8,Mar 2020,"18,095","23,620","24,160","15,447","1,75M","-22,67%"
9,Feb 2020,"23,400","24,350","26,260","22,640","29,16M","-3,78%"
10,Ene 2020,"24,320","23,000","24,740","22,370","23,44M","6,95%"
11,Dic 2019,"22,740","22,610","23,430","21,800","55,49M","0,57%"
12,Nov 2019,"22,610","22,270","23,250","21,770","23,62M","1,89%"
13,Oct 2019,"22,190","21,300","23,060","20,210","28,09M","4,37%"
14,Sep 2019,"21,260","19,830","21,580","19,155","28,15M","7,08%"
15,Ago 2019,"19,855","19,640","20,490","19,350","24,69M","0,91%"
16,Jul 2019,"19,675","22,990","23,650","18,800","48,43M","-16,17%"
17,Jun 2019,"23,470","24,410","25,470","23,470","29,92M","-4,20%"
18,May 2019,"24,500","25,300","25,910","24,110","20,85M","-3,54%"
19,Abr 2019,"25,400","25,940","26,080","24,600","17,74M","-2,08%"
20,Mar 2019,"25,940","25,190","27,220","24,470","24,94M","3,55%"
21,Feb 2019,"25,050","25,430","25,580","24,540","20,48M","-1,49%"
22,Ene 2019,"25,430","23,440","25,480","23,240","20,19M","7,71%"
