,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"24,435","23,080","24,670","22,980","795,94K","6,19%"
1,Oct 2020,"23,010","22,830","24,295","22,410","1,06M","0,79%"
2,Sep 2020,"22,830","23,450","23,915","22,190","812,74K","-1,72%"
3,Ago 2020,"23,230","24,005","24,720","23,120","755,33K","-3,37%"
4,Jul 2020,"24,040","21,940","24,895","21,695","1,22M","9,62%"
5,Jun 2020,"21,930","21,500","23,020","20,855","1,24M","2,72%"
6,May 2020,"21,350","19,690","21,765","19,515","3,10M","5,43%"
7,Abr 2020,"20,250","19,470","20,770","18,300","1,55M","4,01%"
8,Mar 2020,"19,470","23,590","24,495","14,768","1,36M","-16,19%"
9,Feb 2020,"23,230","24,790","26,260","22,880","26,50M","-6,22%"
10,Ene 2020,"24,770","23,880","24,950","22,870","31,36M","4,12%"
11,Dic 2019,"23,790","24,780","25,570","23,730","32,09M","-3,61%"
12,Nov 2019,"24,680","24,410","24,920","23,350","28,17M","1,15%"
13,Oct 2019,"24,400","24,200","24,510","23,320","21,79M","1,08%"
14,Sep 2019,"24,140","23,400","24,150","22,890","20,17M","3,29%"
15,Ago 2019,"23,370","22,160","23,680","22,160","22,66M","4,56%"
16,Jul 2019,"22,350","22,640","23,560","21,890","67,25M","-1,15%"
17,Jun 2019,"22,610","22,180","24,120","22,160","67,12M","1,34%"
18,May 2019,"22,310","22,180","23,320","21,730","23,25M","0,45%"
19,Abr 2019,"22,210","22,920","23,020","21,570","24,82M","-2,33%"
20,Mar 2019,"22,740","22,190","23,300","21,660","27,07M","2,66%"
21,Feb 2019,"22,150","21,850","22,380","21,340","24,22M","1,51%"
22,Ene 2019,"21,820","19,930","21,840","19,720","43,19M","8,40%"
