,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"2,1600","1,9380","2,1700","1,9000","623,36K","11,34%"
1,Oct 2020,"1,9400","1,9260","2,3050","1,7340","1,48M","1,78%"
2,Sep 2020,"1,9060","1,7800","1,9700","1,6440","1,29M","7,08%"
3,Ago 2020,"1,7800","1,5100","1,8400","1,4660","1,73M","15,89%"
4,Jul 2020,"1,5360","1,7420","1,8000","1,5020","414,39K","-11,72%"
5,Jun 2020,"1,7400","1,9500","2,0250","1,6660","453,77K","-8,42%"
6,May 2020,"1,9000","2,0100","2,1500","1,7100","399,05K","-6,86%"
7,Abr 2020,"2,0400","1,5840","2,1200","1,5000","1,17M","32,99%"
8,Mar 2020,"1,5340","2,5060","2,5060","1,2210","663,47K","-35,55%"
9,Feb 2020,"2,3800","2,3200","2,7640","2,2540","48,24M","2,32%"
10,Ene 2020,"2,3260","2,1900","2,6200","2,0840","54,61M","8,69%"
11,Dic 2019,"2,1400","2,0500","2,2000","1,8600","8,80M","6,47%"
12,Nov 2019,"2,0100","1,6200","2,2580","1,6200","27,50M","21,82%"
13,Oct 2019,"1,6500","1,5590","1,7950","1,4560","12,12M","4,50%"
14,Sep 2019,"1,5790","1,4780","1,9500","1,3520","15,31M","9,05%"
15,Ago 2019,"1,4480","1,7800","1,8700","1,4200","5,77M","-17,63%"
16,Jul 2019,"1,7580","2,1580","2,1780","1,6140","7,57M","-15,40%"
17,Jun 2019,"2,0780","2,1320","2,2180","1,9030","4,92M","-1,98%"
18,May 2019,"2,1200","2,3560","2,3700","2,0700","9,24M","-7,99%"
19,Abr 2019,"2,3040","2,0480","2,4780","1,9300","10,63M","12,39%"
20,Mar 2019,"2,0500","2,4200","2,5000","1,9300","13,19M","-15,29%"
21,Feb 2019,"2,4200","2,7200","2,7800","2,2700","16,32M","-10,04%"
22,Ene 2019,"2,6900","1,3100","2,8300","1,2800","45,46M","109,34%"
