,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"17,240","15,820","17,480","15,360","232,30K","11,08%"
1,Oct 2020,"15,520","14,560","16,720","13,900","264,33K","7,18%"
2,Sep 2020,"14,480","13,900","15,140","13,440","75,40K","2,70%"
3,Ago 2020,"14,100","14,100","14,820","13,460","48,26K","0,43%"
4,Jul 2020,"14,040","11,720","14,380","11,720","515,61K","19,39%"
5,Jun 2020,"11,760","11,080","12,400","10,940","62,03K","5,95%"
6,May 2020,"11,100","9,520","11,100","9,490","140,45K","8,82%"
7,Abr 2020,"10,200","8,720","10,500","8,000","49,88K","19,72%"
8,Mar 2020,"8,520","12,480","12,760","7,720","72,22K","-31,73%"
9,Feb 2020,"12,480","10,920","13,700","10,900","2,37M","12,43%"
10,Ene 2020,"11,100","12,260","12,500","10,800","533,22K","-9,02%"
11,Dic 2019,"12,200","11,120","12,200","10,720","1,88M","8,35%"
12,Nov 2019,"11,260","11,100","11,700","11,020","1,93M","0,54%"
13,Oct 2019,"11,200","10,920","11,200","9,880","1,64M","2,94%"
14,Sep 2019,"10,880","11,200","11,780","10,700","1,72M","-1,63%"
15,Ago 2019,"11,060","10,940","11,460","9,840","1,24M","-1,78%"
16,Jul 2019,"11,260","11,660","12,180","10,920","3,99M","-3,10%"
17,Jun 2019,"11,620","10,900","12,740","10,900","14,03M","5,06%"
18,May 2019,"11,060","9,970","11,480","9,700","2,68M","13,44%"
19,Abr 2019,"9,750","10,300","10,600","9,590","2,26M","-4,79%"
20,Mar 2019,"10,240","9,900","10,500","9,210","1,94M","3,96%"
21,Feb 2019,"9,850","9,970","10,160","9,470","1,30M","-0,51%"
22,Ene 2019,"9,900","9,470","10,040","8,900","3,36M","1,12%"
