,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"26,770","24,530","27,290","23,155","1,68M","10,03%"
1,Oct 2020,"24,330","23,415","26,490","23,400","1,02M","5,37%"
2,Sep 2020,"23,090","22,360","24,300","20,299","1,22M","2,90%"
3,Ago 2020,"22,440","19,707","23,450","19,698","983,08K","12,91%"
4,Jul 2020,"19,875","15,705","20,595","15,345","2,14M","25,95%"
5,Jun 2020,"15,780","15,402","15,941","13,835","1,74M","4,26%"
6,May 2020,"15,135","13,260","15,230","12,643","1,82M","11,53%"
7,Abr 2020,"13,570","13,370","14,081","12,848","839,94K","-1,17%"
8,Mar 2020,"13,730","14,895","15,423","10,661","1,47M","-5,47%"
9,Feb 2020,"14,525","14,500","16,975","13,930","49,53M","0,83%"
10,Ene 2020,"14,405","15,740","15,940","13,845","41,79M","-7,87%"
11,Dic 2019,"15,635","14,505","15,835","14,055","33,24M","7,94%"
12,Nov 2019,"14,485","12,465","14,555","10,950","61,13M","17,53%"
13,Oct 2019,"12,325","12,475","12,660","11,230","47,10M","-1,00%"
14,Sep 2019,"12,450","12,350","14,140","12,150","37,57M","0,52%"
15,Ago 2019,"12,385","12,650","13,115","11,710","33,23M","-2,29%"
16,Jul 2019,"12,675","14,800","15,945","12,265","41,07M","-13,30%"
17,Jun 2019,"14,620","13,850","15,655","13,685","28,67M","4,80%"
18,May 2019,"13,950","15,990","15,990","13,660","37,78M","-12,76%"
19,Abr 2019,"15,990","14,285","16,065","14,125","38,84M","12,65%"
20,Mar 2019,"14,195","13,510","14,520","12,865","32,92M","5,50%"
21,Feb 2019,"13,455","12,550","13,760","12,520","31,99M","8,68%"
22,Ene 2019,"12,380","10,530","12,700","10,415","45,21M","16,35%"
