,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"21,550","19,600","21,700","19,600","54,19K","8,84%"
1,Oct 2020,"19,800","21,450","22,700","18,920","88,22K","-7,91%"
2,Sep 2020,"21,500","21,700","23,750","20,550","39,06K","-1,15%"
3,Ago 2020,"21,750","20,300","22,600","19,720","31,42K","8,75%"
4,Jul 2020,"20,000","20,950","21,250","19,660","31,19K","-2,44%"
5,Jun 2020,"20,500","21,250","24,350","19,940","72,24K","0,99%"
6,May 2020,"20,300","17,420","21,600","16,320","94,50K","14,82%"
7,Abr 2020,"17,680","18,340","20,000","17,100","130,27K","-4,02%"
8,Mar 2020,"18,420","28,300","28,950","16,080","43,68K","-35,03%"
9,Feb 2020,"28,350","30,150","30,900","26,600","1,28M","-4,38%"
10,Ene 2020,"29,650","31,650","32,600","29,350","498,07K","-4,82%"
11,Dic 2019,"31,150","33,000","33,100","30,800","956,45K","-4,74%"
12,Nov 2019,"32,700","31,450","34,150","31,300","1,15M","4,14%"
13,Oct 2019,"31,400","29,300","31,400","28,100","794,18K","7,72%"
14,Sep 2019,"29,150","30,400","32,500","28,750","518,82K","-4,74%"
15,Ago 2019,"30,600","32,700","33,350","29,350","568,90K","-5,41%"
16,Jul 2019,"32,350","32,950","34,600","31,800","767,48K","-0,46%"
17,Jun 2019,"32,500","31,350","32,650","30,300","782,88K","4,17%"
18,May 2019,"31,200","33,900","33,900","31,000","783,78K","-7,42%"
19,Abr 2019,"33,700","32,000","34,350","31,300","936,13K","5,97%"
20,Mar 2019,"31,800","31,500","33,850","30,700","2,89M","1,60%"
21,Feb 2019,"31,300","34,350","35,700","30,500","729,53K","-9,54%"
22,Ene 2019,"34,600","32,150","35,450","32,050","361,89K","6,13%"
