,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"20,160","18,645","20,250","18,282","815,41K","8,53%"
1,Oct 2020,"18,575","20,930","21,560","18,175","1,57M","-10,48%"
2,Sep 2020,"20,750","22,380","23,545","20,750","3,34M","-7,28%"
3,Ago 2020,"22,380","20,685","23,565","20,595","775,82K","7,91%"
4,Jul 2020,"20,740","23,690","24,790","20,740","1,60M","-12,49%"
5,Jun 2020,"23,700","24,710","26,250","23,585","1,55M","-2,95%"
6,May 2020,"24,420","21,880","24,940","21,590","4,64M","8,34%"
7,Abr 2020,"22,540","21,870","24,320","20,053","975,30K","23,79%"
8,Mar 2020,"18,208","26,480","28,675","16,234","1,45M","-29,64%"
9,Feb 2020,"25,880","28,730","30,500","25,660","40,43M","-9,70%"
10,Ene 2020,"28,660","27,150","29,720","26,730","35,92M","6,27%"
11,Dic 2019,"26,970","26,870","27,540","25,870","44,55M","0,07%"
12,Nov 2019,"26,950","26,220","27,080","25,620","37,88M","2,74%"
13,Oct 2019,"26,230","26,330","26,430","25,030","51,26M","-0,19%"
14,Sep 2019,"26,280","25,650","26,600","24,850","42,37M","2,50%"
15,Ago 2019,"25,640","23,230","25,870","23,180","46,98M","8,87%"
16,Jul 2019,"23,550","22,790","24,710","22,400","42,77M","4,62%"
17,Jun 2019,"22,510","21,230","22,830","20,810","41,91M","5,24%"
18,May 2019,"21,390","21,730","21,870","19,490","53,39M","-1,79%"
19,Abr 2019,"21,780","20,820","21,870","20,080","38,47M","5,17%"
20,Mar 2019,"20,710","20,190","21,000","20,070","36,38M","3,71%"
21,Feb 2019,"19,970","19,390","19,990","19,040","32,46M","3,53%"
22,Ene 2019,"19,290","17,280","19,490","17,100","43,56M","10,61%"
