,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"6,760","6,088","6,765","5,995","728,63K","10,73%"
1,Oct 2020,"6,105","7,105","7,485","5,790","883,48K","-13,47%"
2,Sep 2020,"7,055","7,485","7,665","6,660","1,23M","-4,34%"
3,Ago 2020,"7,375","7,500","7,585","7,010","570,24K","2,08%"
4,Jul 2020,"7,225","7,200","8,465","6,827","872,23K","-7,84%"
5,Jun 2020,"7,840","8,250","9,100","7,742","933,97K","-3,57%"
6,May 2020,"8,130","8,655","8,655","7,095","1,27M","-7,61%"
7,Abr 2020,"8,800","8,502","9,850","7,550","606,30K","1,91%"
8,Mar 2020,"8,635","11,635","12,400","6,100","1,49M","-25,04%"
9,Feb 2020,"11,520","12,140","13,230","10,940","12,32M","-4,71%"
10,Ene 2020,"12,090","11,500","12,260","11,130","9,96M","6,43%"
11,Dic 2019,"11,360","11,420","11,640","11,120","11,89M","-0,79%"
12,Nov 2019,"11,450","11,630","11,950","11,240","14,38M","-1,12%"
13,Oct 2019,"11,580","11,060","11,630","11,060","20,83M","4,61%"
14,Sep 2019,"11,070","10,600","11,160","10,270","26,80M","5,43%"
15,Ago 2019,"10,500","10,080","10,600","9,995","11,82M","3,96%"
16,Jul 2019,"10,100","9,850","10,290","9,690","14,40M","3,11%"
17,Jun 2019,"9,795","9,875","10,320","9,460","17,04M","-1,16%"
18,May 2019,"9,910","9,625","9,980","9,300","17,27M","3,28%"
19,Abr 2019,"9,595","9,165","9,635","9,110","14,09M","4,69%"
20,Mar 2019,"9,165","9,120","9,345","8,975","17,36M","1,10%"
21,Feb 2019,"9,065","8,980","9,130","8,550","15,21M","1,51%"
22,Ene 2019,"8,930","7,950","9,035","7,885","20,83M","9,77%"
