,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"1,196","1,022","1,198","0,991","17,93M","11,99%"
1,Oct 2020,"1,068","1,055","1,206","0,982","23,36M","3,19%"
2,Sep 2020,"1,035","2,244","2,539","0,977","19,48M","-53,88%"
3,Ago 2020,"2,244","2,418","2,443","1,726","10,24M","21,26%"
4,Jul 2020,"1,850","2,000","2,640","1,810","23,55M","-24,35%"
5,Jun 2020,"2,446","2,668","4,047","2,413","9,85M","-3,70%"
6,May 2020,"2,540","2,450","2,950","1,800","20,99M","-0,39%"
7,Abr 2020,"2,550","2,438","3,021","2,250","14,25M","4,59%"
8,Mar 2020,"2,438","5,780","5,780","2,107","6,28M","-55,70%"
9,Feb 2020,"5,504","6,786","7,740","5,372","64,16M","-18,53%"
10,Ene 2020,"6,756","7,366","8,020","6,750","76,23M","-6,43%"
11,Dic 2019,"7,220","6,480","7,690","6,238","88,36M","11,08%"
12,Nov 2019,"6,500","6,180","6,710","6,118","63,84M","5,55%"
13,Oct 2019,"6,158","5,390","6,190","5,024","78,03M","15,23%"
14,Sep 2019,"5,344","4,640","5,500","4,571","63,85M","14,58%"
15,Ago 2019,"4,664","4,723","5,080","4,496","46,08M","0,19%"
16,Jul 2019,"4,655","5,431","5,452","4,515","110,02M","-12,38%"
17,Jun 2019,"5,313","5,061","5,364","4,851","89,46M","4,20%"
18,May 2019,"5,099","6,310","6,380","5,095","55,14M","-19,01%"
19,Abr 2019,"6,296","5,926","6,534","5,806","68,23M","6,14%"
20,Mar 2019,"5,932","7,000","7,092","5,830","95,02M","-14,72%"
21,Feb 2019,"6,956","7,356","7,630","6,944","104,54M","-5,80%"
22,Ene 2019,"7,384","6,664","7,444","6,444","46,85M","6,71%"
