,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"1,385","1,309","1,399","1,292","8,95M","7,03%"
1,Oct 2020,"1,294","1,348","1,399","1,232","7,02M","-3,22%"
2,Sep 2020,"1,337","1,588","1,629","1,262","9,31M","-15,81%"
3,Ago 2020,"1,588","1,640","1,685","1,508","3,92M","4,06%"
4,Jul 2020,"1,526","1,557","1,680","1,517","3,99M","-3,66%"
5,Jun 2020,"1,584","1,611","1,929","1,546","6,08M","0,06%"
6,May 2020,"1,583","1,632","1,710","1,405","10,35M","-5,27%"
7,Abr 2020,"1,671","1,542","1,789","1,529","5,97M","7,36%"
8,Mar 2020,"1,556","2,070","2,070","1,316","6,49M","-23,14%"
9,Feb 2020,"2,025","2,320","2,445","2,004","86,96M","-12,41%"
10,Ene 2020,"2,312","2,403","2,440","2,312","79,81M","-2,03%"
11,Dic 2019,"2,360","2,575","2,617","2,359","232,18M","-7,78%"
12,Nov 2019,"2,559","2,515","2,593","2,474","76,49M","2,36%"
13,Oct 2019,"2,500","2,478","2,639","2,372","84,12M","1,17%"
14,Sep 2019,"2,471","2,368","2,577","2,368","85,23M","4,35%"
15,Ago 2019,"2,368","2,484","2,499","2,310","81,91M","-5,01%"
16,Jul 2019,"2,493","2,600","2,743","2,480","94,53M","-3,03%"
17,Jun 2019,"2,571","2,603","2,749","2,551","138,51M","-2,17%"
18,May 2019,"2,628","2,670","2,726","2,576","77,52M","-1,76%"
19,Abr 2019,"2,675","2,470","2,690","2,468","86,32M","8,92%"
20,Mar 2019,"2,456","2,493","2,596","2,422","90,56M","-1,13%"
21,Feb 2019,"2,484","2,439","2,500","2,360","75,68M","2,31%"
22,Ene 2019,"2,428","2,310","2,520","2,252","89,11M","4,66%"
