,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"3,451","3,168","3,481","3,048","2,19M","8,52%"
1,Oct 2020,"3,180","3,149","3,518","2,924","1,58M","1,47%"
2,Sep 2020,"3,134","3,512","3,665","2,880","773,56K","-10,76%"
3,Ago 2020,"3,512","3,686","3,906","2,922","1,11M","11,70%"
4,Jul 2020,"3,144","3,810","4,202","3,144","2,89M","-16,87%"
5,Jun 2020,"3,782","4,674","5,475","3,678","1,23M","-15,24%"
6,May 2020,"4,462","4,190","5,235","3,212","2,47M","6,49%"
7,Abr 2020,"4,190","3,800","4,790","3,700","908,20K","7,99%"
8,Mar 2020,"3,880","6,410","6,435","2,510","845,09K","-37,82%"
9,Feb 2020,"6,240","7,260","7,670","5,830","15,52M","-13,93%"
10,Ene 2020,"7,250","7,940","8,400","7,190","12,49M","-7,76%"
11,Dic 2019,"7,860","7,560","8,120","7,320","10,14M","4,38%"
12,Nov 2019,"7,530","7,290","7,780","7,250","12,70M","3,15%"
13,Oct 2019,"7,300","7,150","7,490","6,920","17,12M","2,53%"
14,Sep 2019,"7,120","7,510","7,670","7,000","12,50M","-5,07%"
15,Ago 2019,"7,500","7,960","7,980","6,910","13,58M","-5,90%"
16,Jul 2019,"7,970","8,470","8,690","7,880","13,36M","-5,12%"
17,Jun 2019,"8,400","8,100","8,670","7,910","10,99M","2,94%"
18,May 2019,"8,160","8,840","8,850","8,000","11,58M","-7,59%"
19,Abr 2019,"8,830","8,320","8,890","8,150","11,17M","6,64%"
20,Mar 2019,"8,280","8,400","8,810","8,000","17,25M","-1,31%"
21,Feb 2019,"8,390","8,790","9,220","8,190","15,69M","-4,33%"
22,Ene 2019,"8,770","8,240","9,210","8,050","13,00M","6,82%"
