,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"6,19","5,78","6,20","5,70","745,52K","7,19%"
1,Oct 2020,"5,78","7,12","7,37","5,54","1,31M","-18,95%"
2,Sep 2020,"7,13","7,52","7,56","6,58","1,05M","-5,25%"
3,Ago 2020,"7,52","7,75","8,00","6,73","786,82K","7,58%"
4,Jul 2020,"6,99","6,97","7,84","6,49","1,60M","-5,28%"
5,Jun 2020,"7,38","7,61","8,97","7,32","1,37M","-2,25%"
6,May 2020,"7,55","8,50","8,50","6,75","1,88M","-10,76%"
7,Abr 2020,"8,46","6,80","8,47","6,78","3,52M","23,14%"
8,Mar 2020,"6,87","11,80","11,92","6,68","3,37M","-41,03%"
9,Feb 2020,"11,65","12,80","13,38","11,53","19,52M","-8,98%"
10,Ene 2020,"12,80","12,89","13,08","12,15","19,23M","0,08%"
11,Dic 2019,"12,79","12,99","13,04","12,56","17,44M","-1,39%"
12,Nov 2019,"12,97","13,26","13,43","12,57","22,59M","-1,74%"
13,Oct 2019,"13,20","12,88","13,57","12,61","22,85M","3,04%"
14,Sep 2019,"12,81","12,15","12,93","11,77","19,23M","5,35%"
15,Ago 2019,"12,16","12,37","12,56","11,70","15,84M","-1,54%"
16,Jul 2019,"12,35","12,27","12,64","12,11","15,53M","1,23%"
17,Jun 2019,"12,20","11,88","12,42","11,66","20,77M","2,43%"
18,May 2019,"11,91","12,10","12,40","11,80","24,09M","-1,98%"
19,Abr 2019,"12,15","11,58","12,23","11,51","22,43M","4,99%"
20,Mar 2019,"11,57","11,42","11,66","11,07","21,71M","2,24%"
21,Feb 2019,"11,32","11,58","11,63","10,99","20,62M","-2,57%"
22,Ene 2019,"11,62","10,67","11,73","10,44","24,91M","7,71%"
