,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"0,679","0,588","0,724","0,568","2,88M","17,68%"
1,Oct 2020,"0,577","0,570","0,664","0,540","228,20K","1,23%"
2,Sep 2020,"0,570","0,622","0,778","0,549","622,59K","-8,36%"
3,Ago 2020,"0,622","0,609","0,660","0,554","1,02M","11,07%"
4,Jul 2020,"0,560","0,586","0,729","0,557","1,27M","-11,81%"
5,Jun 2020,"0,635","0,727","0,790","0,620","713,97K","-9,67%"
6,May 2020,"0,703","0,720","0,930","0,530","8,53M","-3,70%"
7,Abr 2020,"0,730","0,600","0,816","0,570","454,46K","23,73%"
8,Mar 2020,"0,590","1,026","76,140","0,451","1,01M","-41,12%"
9,Feb 2020,"1,002","1,069","1,242","0,952","63,73M","-5,38%"
10,Ene 2020,"1,059","1,069","1,600","1,046","118,12M","-0,09%"
11,Dic 2019,"1,060","1,033","1,110","0,940","39,58M","3,62%"
12,Nov 2019,"1,023","1,020","1,080","0,963","29,60M","-0,68%"
13,Oct 2019,"1,030","1,064","1,169","0,850","67,64M","-2,55%"
14,Sep 2019,"1,057","1,082","1,222","1,027","47,40M","-2,76%"
15,Ago 2019,"1,087","1,160","1,219","0,902","42,44M","-4,23%"
16,Jul 2019,"1,135","1,137","1,264","1,062","55,95M","0,98%"
17,Jun 2019,"1,124","1,065","1,128","0,955","41,15M","5,54%"
18,May 2019,"1,065","1,110","1,220","1,010","53,80M","-2,20%"
19,Abr 2019,"1,089","1,091","1,298","0,925","80,12M","-3,03%"
20,Mar 2019,"1,123","0,907","1,385","0,896","131,89M","27,76%"
21,Feb 2019,"0,879","0,803","0,948","0,700","81,33M","10,29%"
22,Ene 2019,"0,797","0,650","0,854","0,650","53,78M","22,24%"
