,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"1,605","1,452","1,611","1,446","3,82M","10,01%"
1,Oct 2020,"1,459","1,548","1,716","1,389","1,83M","-4,01%"
2,Sep 2020,"1,520","1,915","2,077","1,420","6,40M","-20,21%"
3,Ago 2020,"1,905","1,938","2,099","1,893","1,53M","-0,26%"
4,Jul 2020,"1,910","1,960","2,059","1,790","4,24M","3,41%"
5,Jun 2020,"1,847","1,809","2,133","1,745","1,67M","4,94%"
6,May 2020,"1,760","1,680","1,834","1,504","2,03M","3,29%"
7,Abr 2020,"1,704","1,341","1,779","1,334","2,23M","22,41%"
8,Mar 2020,"1,392","2,444","2,454","1,060","2,94M","-41,71%"
9,Feb 2020,"2,388","2,594","2,776","2,230","52,53M","-7,80%"
10,Ene 2020,"2,590","2,587","2,792","2,499","48,05M","1,65%"
11,Dic 2019,"2,548","2,422","2,661","2,348","38,95M","5,38%"
12,Nov 2019,"2,418","2,504","2,642","2,408","44,89M","-3,13%"
13,Oct 2019,"2,496","2,306","2,545","2,151","30,07M","8,52%"
14,Sep 2019,"2,300","2,204","2,398","2,171","23,71M","4,07%"
15,Ago 2019,"2,210","2,259","2,282","2,026","31,47M","-3,07%"
16,Jul 2019,"2,280","2,116","2,464","2,085","46,98M","9,25%"
17,Jun 2019,"2,087","1,945","2,180","1,908","33,78M","6,92%"
18,May 2019,"1,952","2,067","2,086","1,874","31,76M","-6,42%"
19,Abr 2019,"2,086","2,186","2,268","2,008","46,67M","-3,25%"
20,Mar 2019,"2,156","2,029","2,266","2,029","37,14M","6,68%"
21,Feb 2019,"2,021","2,028","2,076","1,932","26,60M","0,45%"
22,Ene 2019,"2,012","1,626","2,084","1,573","69,15M","23,97%"
