,Fecha,Último valor,Valor apertura,Máx. valor,Min. valor,Volumen,% Variación
0,Nov 2020,"2,910","2,810","2,926","2,750","19,71M","3,71%"
1,Oct 2020,"2,806","2,979","3,314","2,710","18,78M","-4,46%"
2,Sep 2020,"2,937","3,311","3,385","2,852","21,45M","-11,30%"
3,Ago 2020,"3,311","3,413","3,760","3,300","19,54M","-6,68%"
4,Jul 2020,"3,548","3,724","4,341","3,548","23,90M","-16,46%"
5,Jun 2020,"4,247","4,350","5,013","4,150","13,33M","4,31%"
6,May 2020,"4,071","4,250","4,462","3,611","44,04M","1,46%"
7,Abr 2020,"4,013","4,070","4,510","3,717","25,19M","0,16%"
8,Mar 2020,"4,007","5,470","5,486","3,392","19,55M","-25,25%"
9,Feb 2020,"5,360","6,150","6,570","5,285","432,27M","-12,26%"
10,Ene 2020,"6,109","6,280","6,390","5,980","394,84M","-1,89%"
11,Dic 2019,"6,227","7,000","7,010","6,200","1,26B","-10,43%"
12,Nov 2019,"6,952","6,901","7,088","6,627","315,93M","1,12%"
13,Oct 2019,"6,875","7,010","7,260","6,684","366,84M","-1,80%"
14,Sep 2019,"7,001","6,301","7,034","6,301","384,81M","11,11%"
15,Ago 2019,"6,301","6,850","6,963","5,861","381,06M","-8,96%"
16,Jul 2019,"6,921","7,280","7,482","6,880","300,37M","-4,15%"
17,Jun 2019,"7,221","7,133","7,592","7,095","1,08B","0,60%"
18,May 2019,"7,178","7,380","7,452","6,975","295,45M","-3,42%"
19,Abr 2019,"7,432","7,478","7,650","7,301","241,97M","-0,50%"
20,Mar 2019,"7,469","7,602","7,900","7,330","286,42M","-1,58%"
21,Feb 2019,"7,589","7,512","7,838","7,236","266,51M","1,25%"
22,Ene 2019,"7,495","7,299","7,798","7,227","316,23M","2,13%"
