;Nombre;Último valor;Máx. valor;Min. valor;Variación;% Variación;Volumen;Hora
0;Iberdrola;10,310;10,557;10,235;-0,315;-2,96%;17,98M;17:30:03
1;Santander;1,644;1,701;1,628;-0,054;-3,17%;84,70M;17:34:57
2;Inditex;21,680;22,250;21,515;-0,930;-4,11%;4,77M;17:29:54
3;Amadeus;40,155;41,420;40,120;-2,505;-5,87%;2,25M;17:30:03
4;Repsol;5,272;5,396;5,150;-0,188;-3,44%;14,36M;17:29:59
5;BBVA;2,366;2,404;2,305;-0,040;-1,66%;28,96M;17:29:42
6;Telefónica;2,969;3,003;2,907;-0,026;-0,87%;19,05M;17:34:57
7;Cellnex Telecom;53,70;54,51;53,23;+0,16;+0,30%;919,29K;17:34:55
8;Ferrovial;19,440;19,805;19,137;-0,560;-2,80%;2,34M;17:34:56
9;PharmaMar;110,300;123,600;109,200;+0,400;+0,36%;389,45K;17:35:24
10;Siemens Gamesa;24,220;24,880;23,905;-0,630;-2,54%;1,69M;17:30:03
11;Aena;113,90;116,40;111,70;-5,40;-4,53%;283,71K;17:34:55
12;Naturgy Energy;16,335;17,200;16,137;-1,100;-6,31%;1,96M;17:34:57
13;Endesa;22,810;23,570;22,595;-0,820;-3,47%;1,28M;17:34:56
14;Red Eléctrica;15,605;15,953;15,537;-0,370;-2,32%;1,85M;17:29:59
15;CaixaBank;1,570;1,617;1,560;-0,049;-2,99%;17,34M;17:34:57
16;MásMóvil;22,50;22,52;22,50;0,00;0,00%;1,08M;17:35:24
17;MásMóvil;22,50;22,51;22,50;-0,02;-0,09%;1,08M;17:30:04
18;Enagás;18,960;19,265;18,750;-0,405;-2,09%;1,25M;17:34:57
19;ACS;20,220;21,000;20,110;-0,780;-3,71%;1,17M;17:34:57
20;IAG;1,032;1,054;1,004;-0,035;-3,23%;21,87M;17:34:41
21;Grifols;23,845;24,270;23,555;-0,630;-2,57%;885,82K;17:29:59
22;Banco Sabadell;0,261;0,268;0,257;-0,011;-4,08%;68,77M;17:34:57
23;Bankinter;3,158;3,247;3,086;-0,105;-3,22%;5,41M;17:34:57
24;Merlin Properties;5,73;5,85;5,65;-0,22;-3,62%;2,27M;17:34:57
25;Acciona;90,100;91,675;89,300;-2,200;-2,38%;125,19K;17:34:57
26;Solaria;15,740;16,140;15,640;-0,240;-1,50%;670,89K;17:35:24
27;Mapfre;1,280;1,288;1,232;-0,010;-0,78%;7,98M;17:34:57
28;Acerinox;6,890;7,180;6,810;-0,408;-5,59%;1,43M;17:34:57
29;Indra;5,370;5,740;5,355;-0,300;-5,29%;1,61M;17:34:57
30;ArcelorMittal;11,606;11,790;11,334;-0,216;-1,83%;701,73K;17:34:57
31;Colonial;6,020;6,100;5,890;-0,150;-2,43%;1,26M;17:34:56
32;Cie Automotive;15,990;16,830;15,820;-0,550;-3,33%;435,21K;17:34:55
33;ENCE;1,875;1,968;1,787;-0,124;-6,20%;3,61M;17:34:57
34;Meliá Hotels;3,010;3,074;2,942;-0,110;-3,53%;2,08M;17:34:57
35;Bankia;1,062;1,096;1,055;-0,029;-2,61%;5,10M;17:34:56
36;Viscofan;53.550;54.500;53.425;-0.950;-1.74%;92.87K;
37;Nyesa Valores Corp;0,0073;0,0096;0,0071;-0,0014;-16,09%;662,37M;17:35:24
38;Almirall;9,010;9,215;8,975;-0,320;-3,43%;531,67K;17:29:23
39;Sacyr;1,421;1,459;1,401;-0,065;-4,37%;3,34M;17:30:03
40;Logista;14,18;14,46;13,94;-0,02;-0,14%;328,70K;17:35:24
41;Fluidra;15,100;15,460;14,500;+0,240;+1,62%;279,65K;17:35:24
42;Applus;6,75;7,05;6,52;-0,28;-3,98%;595,41K;17:35:24
43;Audax Renovables;1,9740;2,1400;1,9600;-0,1160;-5,55%;1,96M;17:35:24
44;Mediaset;2,678;2,762;2,666;-0,118;-4,22%;1,09M;17:34:55
45;Técnicas Reunidas;6,660;6,930;6,525;-0,345;-4,93%;387,66K;17:33:56
46;Airbus Group;61,700;62,990;60,200;-2,690;-4,18%;37,33K;17:35:24
47;Rovi;31,000;31,100;30,200;0,000;0,00%;69,63K;17:35:24
48;Vidrala;83,200;84,000;81,400;-0,800;-0,95%;24,51K;17:35:24
49;Grifols Pref;14,820;14,940;14,580;-0,240;-1,59%;133,35K;17:35:24
